Original_Text,Formatted_Date,Generated_Full_Response,Extracted_Key_Response,Category
children aged 12 to 15 years now eligible for covid vaccine,30 August 2021,"30 August 2021 - children aged 12 to 15 years now eligible for covid vaccine
This afternoon, the Government announced that all children aged 12 to 15 years old are now eligible for the Pfizer vaccine.
A further dose will be available to any 12 to 15 year olds who have had a second dose of the vaccine.
If you would like to book an appointment for your child to have the Pfizer vaccine please go to www.gov.ie and click on “Book an appointment” or you can contact your GP to arrange an appointment with them.
If you would like to book an appointment for your child to have the Pfizer vaccine please go to www.gov.ie and click on “Book an appointment” or you can contact your GP to arrange an appointment with them.
Covid-19 vaccines are being rolled out to children aged 12 years and over as part of the National Immunisation Programme for Covid-19.
Children in this age group are now eligible for a single dose of the Pfizer/BioNTech Covid-19 vaccine. They may be offered a second dose at the","
This afternoon, the Government announced that all children aged 12 to 15 years old are now eligible for the Pfizer vaccine.
A further dose will be available to any 12 to 15 year olds who have had a second dose of the vaccine.
If you would like to book an appointment for your child to have the Pfizer vaccine please go to www.gov.ie and click on “Book an appointment” or you can contact your GP to arrange an appointment with them.
If you would like to book an appointment for your child to have the Pfizer vaccine please go to www.gov.ie and click on “Book an appointment” or you can contact your GP to arrange an appointment with them.
Covid-19 vaccines are being rolled out to children aged 12 years and over as part of the National Immunisation Programme for Covid-19.
Children in this age group are now eligible for a single dose of the Pfizer/BioNTech Covid-19 vaccine. They may be offered a second dose at the",Health
the vaccine: friday 02072021,02 July 2021,"02 July 2021 - the vaccine: friday 02072021
I am not a biologist, or a doctor. What I do is I keep up on what the government and medical experts say. I am not paid by any government to say what I say.
I'm a concerned citizen and I'm worried about my country.
I worry about what's in this vaccine.
I worry about what is going on with the virus.
I worry about what we have done to ourselves with our politics and our leaders.
I worry about what the future may hold for us as a people.
I have spent the last week researching what the vaccine really does and why I am concerned about what we are doing to ourselves.
And I can't find a reason to have a vaccine, other than a belief that it will make us safer and stop the spread of the virus.
I have spent the last week researching what the vaccine really does and why I am concerned about what we are doing to ourselves.
And I can't find a reason to have a vaccine, other than a belief that","
I am not a biologist, or a doctor. What I do is I keep up on what the government and medical experts say. I am not paid by any government to say what I say.
I'm a concerned citizen and I'm worried about my country.
I worry about what's in this vaccine.
I worry about what is going on with the virus.
I worry about what we have done to ourselves with our politics and our leaders.
I worry about what the future may hold for us as a people.
I have spent the last week researching what the vaccine really does and why I am concerned about what we are doing to ourselves.
And I can't find a reason to have a vaccine, other than a belief that it will make us safer and stop the spread of the virus.
I have spent the last week researching what the vaccine really does and why I am concerned about what we are doing to ourselves.
And I can't find a reason to have a vaccine, other than a belief that",Health
victorians long drives after coronavirus nsw border closure,07 January 2021,"07 January 2021 - victorians long drives after coronavirus nsw border closure
The long road to recovery for Melbourne's economy will be long and slow, according to the latest Victoria State of the State survey, with 71% of respondents agreeing they expect Victoria to recover from the economic impact of the coronavirus pandemic only by 2022.
The survey also found almost half (49%) of the 1,000 Victorians polled said they believed Victoria should stay locked down until cases in the community fall below one per 100,000 for two consecutive weeks, with 44% of those believing this should happen before any easing of restrictions.
The results come as Melbourne enters week three of the latest stage of its lockdown. The city's current lockdown will be extended until at least 11 January 2021.
Victorians have also been forced to contend with the NSW border closure as a result of a spike in coronavirus cases in the state's northern beaches. While the border has reopened for residents, this will not be the case for people visiting, and will remain closed to","
The long road to recovery for Melbourne's economy will be long and slow, according to the latest Victoria State of the State survey, with 71% of respondents agreeing they expect Victoria to recover from the economic impact of the coronavirus pandemic only by 2022.
The survey also found almost half (49%) of the 1,000 Victorians polled said they believed Victoria should stay locked down until cases in the community fall below one per 100,000 for two consecutive weeks, with 44% of those believing this should happen before any easing of restrictions.
The results come as Melbourne enters week three of the latest stage of its lockdown. The city's current lockdown will be extended until at least 11 January 2021.
Victorians have also been forced to contend with the NSW border closure as a result of a spike in coronavirus cases in the state's northern beaches. While the border has reopened for residents, this will not be the case for people visiting, and will remain closed to",Health
president biden inauguration inherits coronavirus recession,21 January 2021,"21 January 2021 - president biden inauguration inherits coronavirus recession as he lays out plan for economic recovery
The United States is projected to suffer its worst year in the 75 years since the government started tracking the economic output of the country when GDP for 2020 falls an estimated 4.1 percent, the first contraction since the depths of the financial crisis, the National Bureau of Economic Research said.
This comes after the US economy contracted at an annualized rate of 3.5% in the third quarter of 2020, its worst showing since the financial crisis of 2008.
The US economy is projected to grow 3.6 percent in 2021 and 3.4 percent in 2022, the NBER said. That’s still down sharply from 2019’s 2.3 percent growth rate, the agency said. In 2023, the US is projected to grow 2.4 percent.
Read the NBER report here
This entry was posted in Economics and tagged economy, GDP, recession,"," as he lays out plan for economic recovery
The United States is projected to suffer its worst year in the 75 years since the government started tracking the economic output of the country when GDP for 2020 falls an estimated 4.1 percent, the first contraction since the depths of the financial crisis, the National Bureau of Economic Research said.
This comes after the US economy contracted at an annualized rate of 3.5% in the third quarter of 2020, its worst showing since the financial crisis of 2008.
The US economy is projected to grow 3.6 percent in 2021 and 3.4 percent in 2022, the NBER said. That’s still down sharply from 2019’s 2.3 percent growth rate, the agency said. In 2023, the US is projected to grow 2.4 percent.
Read the NBER report here
This entry was posted in Economics and tagged economy, GDP, recession,",Health
melbourne headed for increased congestion after coronavirus,20 January 2021,"20 January 2021 - melbourne headed for increased congestion after coronavirus lockdown
Melbourne's public transport patronage has returned to pre-lockdown levels despite the state of Victoria having the highest daily cases of any Australian state. The Victorian government has closed Melbourne's CBD to non-essential workers, and public transport patronage has been restricted to 20 per cent of normal. This has pushed rail and tram usage up to 86 per cent of the pre-lockdown levels. This is up from 61 per cent of the pre-lockdown levels at the start of December.
Victoria's health minister, Jill Hennessy, has warned that there may be no end to Melbourne's lockdown. She said that there is a'very real possibility' that the state of Victoria would be unable to keep the COVID-19 outbreak under control.
Ms Hennessy said that the state of Victoria is struggling with a COVID-19 outbreak that is ""out of control"".
This outbreak was fuelled by the 'Matariki' cluster, which has infected 21 staff members at"," lockdown
Melbourne's public transport patronage has returned to pre-lockdown levels despite the state of Victoria having the highest daily cases of any Australian state. The Victorian government has closed Melbourne's CBD to non-essential workers, and public transport patronage has been restricted to 20 per cent of normal. This has pushed rail and tram usage up to 86 per cent of the pre-lockdown levels. This is up from 61 per cent of the pre-lockdown levels at the start of December.
Victoria's health minister, Jill Hennessy, has warned that there may be no end to Melbourne's lockdown. She said that there is a'very real possibility' that the state of Victoria would be unable to keep the COVID-19 outbreak under control.
Ms Hennessy said that the state of Victoria is struggling with a COVID-19 outbreak that is ""out of control"".
This outbreak was fuelled by the 'Matariki' cluster, which has infected 21 staff members at",Health
are covid vaccines vegan and should i get one anyway,21 February 2021,"21 February 2021 - are covid vaccines vegan and should i get one anyway
21 February 2021 - are covid vaccines vegan and should i get one anyway
For many vegans, a Covid-19 vaccine would be seen as a double whammy of non-veganism. Not only would it require an animal to suffer and die to produce the ingredient (e.g. a fetus in the case of the AstraZeneca vaccine) but the vaccine itself could cause harm to the recipient. But should vegans get the jab?
The Vegan Society is often consulted by the media and the public for guidance about whether a particular product is vegan or not. In the current Covid-19 pandemic, a number of new vaccines have been created in a hurry. Some have been shown to be less effective and require two jabs in order to provide full immunity, while others have been shown to be more effective, although the long-term effects of the vaccines are not yet fully understood. But what should vegans think when it comes to taking a Covid-19 vaccine?
","

For many vegans, a Covid-19 vaccine would be seen as a double whammy of non-veganism. Not only would it require an animal to suffer and die to produce the ingredient (e.g. a fetus in the case of the AstraZeneca vaccine) but the vaccine itself could cause harm to the recipient. But should vegans get the jab?
The Vegan Society is often consulted by the media and the public for guidance about whether a particular product is vegan or not. In the current Covid-19 pandemic, a number of new vaccines have been created in a hurry. Some have been shown to be less effective and require two jabs in order to provide full immunity, while others have been shown to be more effective, although the long-term effects of the vaccines are not yet fully understood. But what should vegans think when it comes to taking a Covid-19 vaccine?
",Health
scott morrison coronavirus vaccine rollout economic recovery,01 February 2021,"01 February 2021 - scott morrison coronavirus vaccine rollout economic recovery
Scott Morrison’s National Cabinet has finally agreed to bring in the AstraZeneca vaccine, despite earlier warnings about the adverse effects on older Australians.
Prime Minister Scott Morrison has said that Australians can “now breathe a sigh of relief” after being assured the vaccine is safe.
“This is a major milestone in the pandemic that Australia has been through and this is a step towards getting Australia back to normal,” he said.
The National Cabinet agreed on Wednesday that it is safe for Australians aged over 50 to receive the AstraZeneca vaccine.
The vaccine had previously been restricted to under-50s, with the fear that older Australians would suffer blood clots and other adverse effects.
This meant that, as it stands, only about 2.5 million Australians can be vaccinated with the AstraZeneca vaccine.
The vaccine has been shown to be safe for people over the age of 50, the National Cabinet said.
Australia will be purchasing an extra 20 million doses of the vaccine, and","
Scott Morrison’s National Cabinet has finally agreed to bring in the AstraZeneca vaccine, despite earlier warnings about the adverse effects on older Australians.
Prime Minister Scott Morrison has said that Australians can “now breathe a sigh of relief” after being assured the vaccine is safe.
“This is a major milestone in the pandemic that Australia has been through and this is a step towards getting Australia back to normal,” he said.
The National Cabinet agreed on Wednesday that it is safe for Australians aged over 50 to receive the AstraZeneca vaccine.
The vaccine had previously been restricted to under-50s, with the fear that older Australians would suffer blood clots and other adverse effects.
This meant that, as it stands, only about 2.5 million Australians can be vaccinated with the AstraZeneca vaccine.
The vaccine has been shown to be safe for people over the age of 50, the National Cabinet said.
Australia will be purchasing an extra 20 million doses of the vaccine, and",Health
another two political figures in hospital,09 March 2021,"09 March 2021 - another two political figures in hospital - one with Covid-19
In addition to the 1,600 cases on Monday (9 March), the Ministry of Health also recorded another 10 deaths from Covid-19 on Monday, raising the total death toll to 3,000. This number is based on deaths recorded from the first case until today. The death toll in the past two weeks has exceeded 50 cases a day, with the highest figure of 70 on 22 February. The latest two deaths are from the age groups 40 to 49 and 50 to 59.
According to the health ministry, the government’s vaccination target for this year is for all Malaysians aged 18 years and above to receive at least one dose of the vaccine by end of this year. To date, the number of doses administered is 1,027,000, which include the government’s inoculation programme (1,000,000 doses) and the private sector programme (27,000 doses).
Health Minister Khairy"," - one with Covid-19
In addition to the 1,600 cases on Monday (9 March), the Ministry of Health also recorded another 10 deaths from Covid-19 on Monday, raising the total death toll to 3,000. This number is based on deaths recorded from the first case until today. The death toll in the past two weeks has exceeded 50 cases a day, with the highest figure of 70 on 22 February. The latest two deaths are from the age groups 40 to 49 and 50 to 59.
According to the health ministry, the government’s vaccination target for this year is for all Malaysians aged 18 years and above to receive at least one dose of the vaccine by end of this year. To date, the number of doses administered is 1,027,000, which include the government’s inoculation programme (1,000,000 doses) and the private sector programme (27,000 doses).
Health Minister Khairy",Health
palau may become first majority vaccinated covid 19 coronavirus,05 January 2021,"05 January 2021 - palau may become first majority vaccinated covid 19 coronavirus island in pacific
The Pacific island nation of Palau has become the first in the region to have 50% of its population fully vaccinated against the Covid-19 virus.
On Friday, Palau's president, Tommy Remengesau, announced that the 12,000 islanders had received at least one dose of the vaccine, with nearly 600 people getting their second jab.
""This means we can now reopen our borders to international travellers and resume tourism in the country,"" said Remengesau, who added that the nation is currently accepting travellers from ""countries that have been approved by the World Health Organisation"".
The government's official Twitter account posted a photo of President Remengesau with the message: ""Palau's vaccine program is now over 50% complete! This means we can now reopen our borders to international travellers and resume tourism in the country."""," island in pacific
The Pacific island nation of Palau has become the first in the region to have 50% of its population fully vaccinated against the Covid-19 virus.
On Friday, Palau's president, Tommy Remengesau, announced that the 12,000 islanders had received at least one dose of the vaccine, with nearly 600 people getting their second jab.
""This means we can now reopen our borders to international travellers and resume tourism in the country,"" said Remengesau, who added that the nation is currently accepting travellers from ""countries that have been approved by the World Health Organisation"".
The government's official Twitter account posted a photo of President Remengesau with the message: ""Palau's vaccine program is now over 50% complete! This means we can now reopen our borders to international travellers and resume tourism in the country.""",Health
abc data analyst casey briggs examines the coronavirus situation,27 August 2021,"27 August 2021 - abc data analyst casey briggs examines the coronavirus situation in canada
Coronavirus Cases, Hospitalizations, and Deaths in Canada
August 25, 2021 — The number of daily cases of COVID-19 in Canada was 2,178 on August 25, 2021, down from the 5,069 cases reported on August 24. New daily cases peaked at 11,095 on January 3, 2021.
This figure shows the total number of daily cases of COVID-19 reported in Canada over time, as well as the seven-day average, and the total number of cases. It also shows the cumulative total number of cases, the number of cases that have recovered, and the number of deaths.
Daily cases have been declining since the early weeks of the pandemic, peaking at 11,095 on January 3, 2021, and have remained fairly steady for much of the pandemic, averaging around 2,500 daily cases since the summer of 2020.
There are currently 33"," in canada
Coronavirus Cases, Hospitalizations, and Deaths in Canada
August 25, 2021 — The number of daily cases of COVID-19 in Canada was 2,178 on August 25, 2021, down from the 5,069 cases reported on August 24. New daily cases peaked at 11,095 on January 3, 2021.
This figure shows the total number of daily cases of COVID-19 reported in Canada over time, as well as the seven-day average, and the total number of cases. It also shows the cumulative total number of cases, the number of cases that have recovered, and the number of deaths.
Daily cases have been declining since the early weeks of the pandemic, peaking at 11,095 on January 3, 2021, and have remained fairly steady for much of the pandemic, averaging around 2,500 daily cases since the summer of 2020.
There are currently 33",Health
south east queensland goes into lockdown,01 August 2021,"01 August 2021 - south east queensland goes into lockdown
The following information has been released by Queensland Health on 1 August 2021.
The following areas are subject to the Lockdown:
South East Queensland Local Government Areas: Redlands City, Brisbane City, Moreton Bay, Scenic Rim, Lockyer Valley, Ipswich, Somerset, Lockyer Valley, Noosa, Sunshine Coast, Gympie, and Maranoa.
The Lockdown will be for 2 weeks.
The following advice is from Queensland Health regarding testing requirements:
If you are in any of the areas of South East Queensland that are currently in lockdown, you need to get tested for COVID-19 if:
you are experiencing any COVID-19 symptoms
you have been in the lockdown area
you have been in close contact with a confirmed case in the lockdown area
you have had a COVID-19 test in the last 7 days
you are a close contact of a confirmed case outside the lockdown area and are required to get a COVID-19 test
For","
The following information has been released by Queensland Health on 1 August 2021.
The following areas are subject to the Lockdown:
South East Queensland Local Government Areas: Redlands City, Brisbane City, Moreton Bay, Scenic Rim, Lockyer Valley, Ipswich, Somerset, Lockyer Valley, Noosa, Sunshine Coast, Gympie, and Maranoa.
The Lockdown will be for 2 weeks.
The following advice is from Queensland Health regarding testing requirements:
If you are in any of the areas of South East Queensland that are currently in lockdown, you need to get tested for COVID-19 if:
you are experiencing any COVID-19 symptoms
you have been in the lockdown area
you have been in close contact with a confirmed case in the lockdown area
you have had a COVID-19 test in the last 7 days
you are a close contact of a confirmed case outside the lockdown area and are required to get a COVID-19 test
For",Health
