Original_Text,Formatted_Date,Generated_Full_Response,Extracted_Key_Response,Category
hungry panda scrutiny over delivery riders safety gig economy,23 February 2021,"23 February 2021 - hungry panda scrutiny over delivery riders safety gig economy
Hungry Panda scrutiny over delivery riders’ safety
Hungry Panda scrutiny over delivery riders’ safety
Deliveroo riders in Bristol have been awarded the status of workers under a ruling from the employment tribunal. The ruling could have a knock-on effect across the city.
Bristol workers and campaigners say that this case will open the door to hundreds of other workers in the city to claim similar rights, which will include protection from holiday pay deductions, pay on rest days, statutory sick pay, and holiday pay entitlement.
Deliveroo has over 3,000 riders in Bristol alone, delivering food to customers from restaurants across the city.
A spokesman for the Bristol Riders Union said: “The Bristol Riders Union welcomes the news that Deliveroo riders in Bristol have been awarded the status of workers, with this ruling opening the door for hundreds of other riders across the city to claim similar rights, which will include protection from holiday pay deductions, pay on rest days, statutory sick pay, and holiday pay entitlement.”
","
Hungry Panda scrutiny over delivery riders’ safety
Hungry Panda scrutiny over delivery riders’ safety
Deliveroo riders in Bristol have been awarded the status of workers under a ruling from the employment tribunal. The ruling could have a knock-on effect across the city.
Bristol workers and campaigners say that this case will open the door to hundreds of other workers in the city to claim similar rights, which will include protection from holiday pay deductions, pay on rest days, statutory sick pay, and holiday pay entitlement.
Deliveroo has over 3,000 riders in Bristol alone, delivering food to customers from restaurants across the city.
A spokesman for the Bristol Riders Union said: “The Bristol Riders Union welcomes the news that Deliveroo riders in Bristol have been awarded the status of workers, with this ruling opening the door for hundreds of other riders across the city to claim similar rights, which will include protection from holiday pay deductions, pay on rest days, statutory sick pay, and holiday pay entitlement.”
",Economy
supermarket shelves stripped by mice plague western nsw,19 March 2021,"19 March 2021 - supermarket shelves stripped by mice plague western nsw 2020
mice plague in nsw
The NSW Government has declared a mouse plague emergency in western New South Wales.
A bushfire emergency declaration has been put in place in NSW’s southern riverina.
In a tweet on Monday afternoon, Premier Gladys Berejiklian said she had met with her emergency services ministers and declared a mouse plague emergency in western New South Wales. Ms Berejiklian said the State Emergency Service would be focusing on communities in the far western parts of NSW in the coming days.
“We’ve declared a mouse plague emergency in the far western parts of NSW,” she said in a tweet on Monday afternoon.
“Bushfires, flooding and now mice in Western NSW. We’re focused on helping communities get through this emergency.”
In an emergency service tweet, the NSW Rural Fire Service said crews would be focusing on the Murrumbidgee and Murray River areas.
“We’ve had a lot of bushfires in this area and we’re focusing on helping communities with the"," 2020
mice plague in nsw
The NSW Government has declared a mouse plague emergency in western New South Wales.
A bushfire emergency declaration has been put in place in NSW’s southern riverina.
In a tweet on Monday afternoon, Premier Gladys Berejiklian said she had met with her emergency services ministers and declared a mouse plague emergency in western New South Wales. Ms Berejiklian said the State Emergency Service would be focusing on communities in the far western parts of NSW in the coming days.
“We’ve declared a mouse plague emergency in the far western parts of NSW,” she said in a tweet on Monday afternoon.
“Bushfires, flooding and now mice in Western NSW. We’re focused on helping communities get through this emergency.”
In an emergency service tweet, the NSW Rural Fire Service said crews would be focusing on the Murrumbidgee and Murray River areas.
“We’ve had a lot of bushfires in this area and we’re focusing on helping communities with the",Economy
five stabbed at supermarket in dunedin nz,10 May 2021,"10 May 2021 - five stabbed at supermarket in dunedin nz
The man who stabbed four people in Dunedin on Monday afternoon had a “significant criminal history”, the police said, confirming earlier media reports.
It’s believed the 22-year-old from Dunedin was “familiar with the locations of all of his victims”, including the Dunedin Mall, which he had walked through minutes before the stabbing.
It is also understood that a 17-year-old girl, a 55-year-old man, a 49-year-old man and a 53-year-old woman were all in a store in Dunedin’s downtown when the man began stabbing them.
A fifth person, believed to be in their 50s, was not seriously injured in the incident, police said. The four people who were stabbed were taken to Dunedin Hospital, but all of their injuries were not life-threatening.
Police arrested the 22-year-old suspect shortly after the attack at about 1:20 pm and said that they believed he was still the only person responsible for the stabb","
The man who stabbed four people in Dunedin on Monday afternoon had a “significant criminal history”, the police said, confirming earlier media reports.
It’s believed the 22-year-old from Dunedin was “familiar with the locations of all of his victims”, including the Dunedin Mall, which he had walked through minutes before the stabbing.
It is also understood that a 17-year-old girl, a 55-year-old man, a 49-year-old man and a 53-year-old woman were all in a store in Dunedin’s downtown when the man began stabbing them.
A fifth person, believed to be in their 50s, was not seriously injured in the incident, police said. The four people who were stabbed were taken to Dunedin Hospital, but all of their injuries were not life-threatening.
Police arrested the 22-year-old suspect shortly after the attack at about 1:20 pm and said that they believed he was still the only person responsible for the stabb",Economy
bureau of statistics says australia's gdp shrinks,01 December 2021,"01 December 2021 - bureau of statistics says australia's gdp shrinks
Australia's economic recovery has stalled, with GDP falling 1.9% in the September quarter, the Bureau of Statistics says.
The figures come as the government is facing renewed calls to offer more support for the economy to combat the impacts of the COVID-19 pandemic.
The data shows the economy is 1.5% lower than before the pandemic, and is down 5.6% compared with the December 2019 quarter.
The Australian Industry Group said the latest data showed the economy was far from fully recovered.
""The latest ABS data on national GDP released today shows that the Australian economy is still 5.6 per cent lower than it was before the pandemic hit, in March 2020,"" Australian Industry Group Chief Executive Innes Willox said.
""The ABS GDP data today indicates the economy is far from fully recovered, with the decline in GDP in the September quarter - 1.9 per cent - indicating that the economic recovery has stalled.""
Mr Willox said the economy is","
Australia's economic recovery has stalled, with GDP falling 1.9% in the September quarter, the Bureau of Statistics says.
The figures come as the government is facing renewed calls to offer more support for the economy to combat the impacts of the COVID-19 pandemic.
The data shows the economy is 1.5% lower than before the pandemic, and is down 5.6% compared with the December 2019 quarter.
The Australian Industry Group said the latest data showed the economy was far from fully recovered.
""The latest ABS data on national GDP released today shows that the Australian economy is still 5.6 per cent lower than it was before the pandemic hit, in March 2020,"" Australian Industry Group Chief Executive Innes Willox said.
""The ABS GDP data today indicates the economy is far from fully recovered, with the decline in GDP in the September quarter - 1.9 per cent - indicating that the economic recovery has stalled.""
Mr Willox said the economy is",Economy
australias economy is finally bigger than at the,02 June 2021,"02 June 2021 - australias economy is finally bigger than at the pre-gfc peak
In this episode, host John Hempton and guest Andrew Winter discuss:
Why we don’t need 2.0 or 3.0 versions of the great financial crisis
How we are the best economy in the world
Why we are better at making money than the Chinese
What the Chinese think about the Chinese
The new war between the US and China
How we are different from other great countries in history
Why there is a new war for talent between the US and China
How China’s rise and Australia’s boom are not correlated
How China is trying to stop the US being the number one economy
Why the Chinese think the US is a loser
Why the Chinese think the world is too small
Why the US will be the dominant economy in the next 20-30 years
Why the US and Australia are the best two places to live in the world
How Australia is like the US
The reason why we can’t get on with China
"," pre-gfc peak
In this episode, host John Hempton and guest Andrew Winter discuss:
Why we don’t need 2.0 or 3.0 versions of the great financial crisis
How we are the best economy in the world
Why we are better at making money than the Chinese
What the Chinese think about the Chinese
The new war between the US and China
How we are different from other great countries in history
Why there is a new war for talent between the US and China
How China’s rise and Australia’s boom are not correlated
How China is trying to stop the US being the number one economy
Why the Chinese think the US is a loser
Why the Chinese think the world is too small
Why the US will be the dominant economy in the next 20-30 years
Why the US and Australia are the best two places to live in the world
How Australia is like the US
The reason why we can’t get on with China
",Economy
brisbane heritage listed broadway hotel for sale on market qld,10 March 2021,"10 March 2021 - brisbane heritage listed broadway hotel for sale on market qld
The Brisbane Heritage Listed Broadways Hotel, one of the most iconic buildings in the Brisbane CBD, is now on the market, offering investors a unique opportunity to secure an asset of exceptional prestige in the heart of the CBD.
The hotel was built in 1932 and has played host to a number of well-known personalities and significant political figures, including John Curtin, who famously stopped in for a drink after the outbreak of World War II.
Now, the hotel is set to be redeveloped as a boutique hotel with 60 hotel rooms, a lobby bar and restaurant with up to 300 seats, a function space, a spa, rooftop bar, rooftop pool and 60 car park spaces.
According to Brisbane based property group, Colliers International, the development is one of the most significant projects to come to market in the CBD in the last 10 years.
Colliers is marketing the asset through a joint venture between the owners and the Brisbane CBD-based property group.
Colliers has appointed","
The Brisbane Heritage Listed Broadways Hotel, one of the most iconic buildings in the Brisbane CBD, is now on the market, offering investors a unique opportunity to secure an asset of exceptional prestige in the heart of the CBD.
The hotel was built in 1932 and has played host to a number of well-known personalities and significant political figures, including John Curtin, who famously stopped in for a drink after the outbreak of World War II.
Now, the hotel is set to be redeveloped as a boutique hotel with 60 hotel rooms, a lobby bar and restaurant with up to 300 seats, a function space, a spa, rooftop bar, rooftop pool and 60 car park spaces.
According to Brisbane based property group, Colliers International, the development is one of the most significant projects to come to market in the CBD in the last 10 years.
Colliers is marketing the asset through a joint venture between the owners and the Brisbane CBD-based property group.
Colliers has appointed",Economy
china finance official executed in bribery case,30 January 2021,"30 January 2021 - china finance official executed in bribery case, state media says
A former senior Chinese financial regulator has been executed after being convicted of bribery in a case involving his close family ties with top officials, state media said Monday.
Li Dongsheng, who once headed China’s banking and insurance regulators and served as head of the powerful Central Leading Group on Financial and Economic Affairs, was executed last week, the Global Times newspaper reported, citing a statement from the official Xinhua News Agency.
Li, 72, was convicted in December of bribery and other crimes, including taking “huge bribes” from a state-owned insurance firm, the Global Times said. He was convicted in a high-profile case that saw a former minister of railways, Zhou Shengxian, and his wife executed in 2014 for corruption. Zhou was a close friend of the former head of the Central Committee’s Political and Legal Affairs Commission, Zhou Yongkang, who was sentenced to life in prison in 2015.
Li had also been involved in high",", state media says
A former senior Chinese financial regulator has been executed after being convicted of bribery in a case involving his close family ties with top officials, state media said Monday.
Li Dongsheng, who once headed China’s banking and insurance regulators and served as head of the powerful Central Leading Group on Financial and Economic Affairs, was executed last week, the Global Times newspaper reported, citing a statement from the official Xinhua News Agency.
Li, 72, was convicted in December of bribery and other crimes, including taking “huge bribes” from a state-owned insurance firm, the Global Times said. He was convicted in a high-profile case that saw a former minister of railways, Zhou Shengxian, and his wife executed in 2014 for corruption. Zhou was a close friend of the former head of the Central Committee’s Political and Legal Affairs Commission, Zhou Yongkang, who was sentenced to life in prison in 2015.
Li had also been involved in high",Economy
fears of a debt disaster on the horizon as property market runs,13 March 2021,"13 March 2021 - fears of a debt disaster on the horizon as property market runs hot
Fears of a debt disaster on the horizon
The Reserve Bank of Australia’s (RBA) recent rate cuts have helped boost the value of property across the nation, with some properties being listed for sale for more than $1 million, in places like Melbourne and Sydney. 
According to realestate.com.au, prices have climbed by 9.7% year-on-year, but some properties have already been snapped up by eager buyers. One Sydney home sold for more than $1.3 million, which was almost double its advertised price.
And the increase in the value of property is likely to continue, with many experts predicting that prices will soar once the pandemic is over.
According to realestate.com.au, prices across Australia will rise 16% by the end of 2021.
And the rise in value is not just affecting houses and apartments, with land prices rising at an even faster rate, with some experts predicting that land will become a valuable asset in the coming"," hot
Fears of a debt disaster on the horizon
The Reserve Bank of Australia’s (RBA) recent rate cuts have helped boost the value of property across the nation, with some properties being listed for sale for more than $1 million, in places like Melbourne and Sydney. 
According to realestate.com.au, prices have climbed by 9.7% year-on-year, but some properties have already been snapped up by eager buyers. One Sydney home sold for more than $1.3 million, which was almost double its advertised price.
And the increase in the value of property is likely to continue, with many experts predicting that prices will soar once the pandemic is over.
According to realestate.com.au, prices across Australia will rise 16% by the end of 2021.
And the rise in value is not just affecting houses and apartments, with land prices rising at an even faster rate, with some experts predicting that land will become a valuable asset in the coming",Economy
inflation climbs on fuel and houses; pushing into,27 October 2021,"27 October 2021 - inflation climbs on fuel and houses; pushing into double digits
27 October 2021 - inflation climbs on fuel and houses; pushing into double digits
Today’s inflation figures released by the Department of Statistics and Programme Analysis showed that inflation rose by 0.1% in the month of September.
Inflation rose by 0.1% in the month of September.
Inflation rose by 0.1% in the month of September.
For the year ending in September, inflation increased to 4.7%.
For the year ending in September, inflation increased to 4.7%.
The annual inflation rate was 4.7% for the year ending in September, as compared to 4.6% in August.
The annual inflation rate was 4.7% for the year ending in September, as compared to 4.6% in August.
The annual inflation rate was 4.7% for the year ending in September, as compared to 4.6% in August.
The annual inflation rate was "," double digits
 double digits
Today’s inflation figures released by the Department of Statistics and Programme Analysis showed that inflation rose by 0.1% in the month of September.
Inflation rose by 0.1% in the month of September.
Inflation rose by 0.1% in the month of September.
For the year ending in September, inflation increased to 4.7%.
For the year ending in September, inflation increased to 4.7%.
The annual inflation rate was 4.7% for the year ending in September, as compared to 4.6% in August.
The annual inflation rate was 4.7% for the year ending in September, as compared to 4.6% in August.
The annual inflation rate was 4.7% for the year ending in September, as compared to 4.6% in August.
The annual inflation rate was ",Economy
macquarie group wa farmland parcels hits the market,15 March 2021,"15 March 2021 - macquarie group wa farmland parcels hits the market
macquarie group wa farmland parcels hits the market
The WA government has sold off a total of 3,000 hectares of farmland through two private tenders in recent months, with more on offer.
The State Government has sold off a total of 3,000 hectares of farmland in the last two months, including 1,350ha of grazing and 1,500ha of cropping, as part of the sale of two properties, both located in Western Australia’s wheatbelt region.
The sale of the two properties was done via private tender and generated bids of $16.1 million, well above the reserve price of $11.5 million.
This follows a successful sale of 1,600ha of cropping land in Western Australia’s Wheatbelt region in December last year, which also generated an $11 million plus sale price, well above the $8.8 million reserve price.
The State Government said the sale of the land was a key component of its strategy","
macquarie group wa farmland parcels hits the market
The WA government has sold off a total of 3,000 hectares of farmland through two private tenders in recent months, with more on offer.
The State Government has sold off a total of 3,000 hectares of farmland in the last two months, including 1,350ha of grazing and 1,500ha of cropping, as part of the sale of two properties, both located in Western Australia’s wheatbelt region.
The sale of the two properties was done via private tender and generated bids of $16.1 million, well above the reserve price of $11.5 million.
This follows a successful sale of 1,600ha of cropping land in Western Australia’s Wheatbelt region in December last year, which also generated an $11 million plus sale price, well above the $8.8 million reserve price.
The State Government said the sale of the land was a key component of its strategy",Economy
