Original_Text,Formatted_Date,Generated_Full_Response,Extracted_Key_Response,Category
andrews government passes contentious laws through upper house,02 December 2021,"02 December 2021 - andrews government passes contentious laws through upper house
01 December 2021 - victorian government imposes curfew on unvaccinated melbourne residents
28 November 2021 - the most corrupt state government in australia's history
26 November 2021 - a new low for the Andrews government
24 November 2021 - why does victoria hate christmas?
21 November 2021 - 13 new laws passed to increase the powers of the victorian government
20 November 2021 - more covid-19 lockdowns, vaccine mandates and the end of democracy in victoria
15 November 2021 - the new 2021 lockdown laws
15 November 2021 - the victorian government plans to impose a lockdown on all unvaccinated melbourne residents
12 November 2021 - a new vaccine passport for australia?
10 November 2021 - how can australia be so gullible?
04 November 2021 - a new lockdown law for melbourne
01 November 2021 - what is the","
01 December 2021 - victorian government imposes curfew on unvaccinated melbourne residents
28 November 2021 - the most corrupt state government in australia's history
26 November 2021 - a new low for the Andrews government
24 November 2021 - why does victoria hate christmas?
21 November 2021 - 13 new laws passed to increase the powers of the victorian government
20 November 2021 - more covid-19 lockdowns, vaccine mandates and the end of democracy in victoria
15 November 2021 - the new 2021 lockdown laws
15 November 2021 - the victorian government plans to impose a lockdown on all unvaccinated melbourne residents
12 November 2021 - a new vaccine passport for australia?
10 November 2021 - how can australia be so gullible?
04 November 2021 - a new lockdown law for melbourne
01 November 2021 - what is the",Politics
us inauguration live updates joe biden becomes president,20 January 2021,"20 January 2021 - us inauguration live updates joe biden becomes president of the us
The new president has just started his presidency with a speech on the Lincoln Memorial.
""Thanks Joe Biden, for your decades of public service, the president of the United States of America.
The new president has just started his presidency with a speech on the Lincoln Memorial.
""Thanks Joe Biden, for your decades of public service, the president of the United States of America."," of the us
The new president has just started his presidency with a speech on the Lincoln Memorial.
""Thanks Joe Biden, for your decades of public service, the president of the United States of America.
The new president has just started his presidency with a speech on the Lincoln Memorial.
""Thanks Joe Biden, for your decades of public service, the president of the United States of America.",Politics
nsw premier final plea to voters in upper hunter by election,22 May 2021,"22 May 2021 - nsw premier final plea to voters in upper hunter by election
NSW Premier Dominic Perrottet says the voters in the Upper Hunter are ‘fed up’ with Labor and the former government.
Mr Perrottet was in Muswellbrook this morning to campaign for the National Party candidate Robyn Parker, who is fighting Labor’s Chris Gulaptis for the seat.
The seat is considered to be held by the National Party, however, the Liberal Party put up a strong challenge to defeat the Nationals at the last election.
Mr Perrottet says Chris Gulaptis is a former unionist, who is now running on Labor’s platform of more debt.
“This is a guy who came to work as a lawyer and got into the Labor party, went on to be a union official, became a minister in the Labor Government, but he also got into the union that he was a union official of and he’s now on the union board.”
Mr Perrottet says Chris Gulaptis has a big heart and he’s a good bloke, but he","
NSW Premier Dominic Perrottet says the voters in the Upper Hunter are ‘fed up’ with Labor and the former government.
Mr Perrottet was in Muswellbrook this morning to campaign for the National Party candidate Robyn Parker, who is fighting Labor’s Chris Gulaptis for the seat.
The seat is considered to be held by the National Party, however, the Liberal Party put up a strong challenge to defeat the Nationals at the last election.
Mr Perrottet says Chris Gulaptis is a former unionist, who is now running on Labor’s platform of more debt.
“This is a guy who came to work as a lawyer and got into the Labor party, went on to be a union official, became a minister in the Labor Government, but he also got into the union that he was a union official of and he’s now on the union board.”
Mr Perrottet says Chris Gulaptis has a big heart and he’s a good bloke, but he",Politics
mitch mcconnell says would support donald trump president 2024,26 February 2021,"26 February 2021 - mitch mcconnell says would support donald trump president 2024 - foxnews - video foxnews.com
Senate Minority Leader Mitch McConnell said Monday that he would support former President Donald Trump running for president again in 2024. 
McConnell made the comments in an interview with Axios published Monday, saying, ""I think it's time for us to get back to what people elected us to do. We need to get back to the basics of how government should work."" 
The Kentucky Republican said that ""a lot of people are going to need to change their minds"" about Trump.
McConnell said that there needs to be a ""broad debate"" and that he wants Trump to ""stay involved in the political process.""
The former president has been the most influential figure in American politics for the last decade and a half. His base, the conservative Republican vote, is large, and the GOP has only had a chance of winning the White House if it could win over a large swath of his support. 
Trump won the Electoral College in 2016"," - foxnews - video foxnews.com
Senate Minority Leader Mitch McConnell said Monday that he would support former President Donald Trump running for president again in 2024. 
McConnell made the comments in an interview with Axios published Monday, saying, ""I think it's time for us to get back to what people elected us to do. We need to get back to the basics of how government should work."" 
The Kentucky Republican said that ""a lot of people are going to need to change their minds"" about Trump.
McConnell said that there needs to be a ""broad debate"" and that he wants Trump to ""stay involved in the political process.""
The former president has been the most influential figure in American politics for the last decade and a half. His base, the conservative Republican vote, is large, and the GOP has only had a chance of winning the White House if it could win over a large swath of his support. 
Trump won the Electoral College in 2016",Politics
government admit lacks of accredited interpreters,28 June 2021,"28 June 2021 - government admit lacks of accredited interpreters for covid-19 testing, 5,000 people a week still wait to see their doctor.
There is a lack of accredited interpreters for covid-19 testing, according to the government.
This lack of interpreters is affecting those who can not read or write English, and therefore may struggle to complete a covid-19 test.
The government admits they are having problems getting enough interpreters to test people who have not had their 2nd vaccine dose.
People can only get a covid-19 test if they are eligible, as per the NHS website, or if you are attending for an appointment, and if they have symptoms.
A spokesperson said: “There are a wide range of reasons people might be unable to do a lateral flow test themselves. This could be due to not understanding the language of the test, being unable to read the instructions, or not being able to get to a test site.”
However, for those who can not get an accredited interpreter for the covid-19 test,"," for covid-19 testing, 5,000 people a week still wait to see their doctor.
There is a lack of accredited interpreters for covid-19 testing, according to the government.
This lack of interpreters is affecting those who can not read or write English, and therefore may struggle to complete a covid-19 test.
The government admits they are having problems getting enough interpreters to test people who have not had their 2nd vaccine dose.
People can only get a covid-19 test if they are eligible, as per the NHS website, or if you are attending for an appointment, and if they have symptoms.
A spokesperson said: “There are a wide range of reasons people might be unable to do a lateral flow test themselves. This could be due to not understanding the language of the test, being unable to read the instructions, or not being able to get to a test site.”
However, for those who can not get an accredited interpreter for the covid-19 test,",Politics
eddie mcguire stands down collingwood president live blog,09 February 2021,"09 February 2021 - eddie mcguire stands down collingwood president live blog
Eddie McGuire has stepped down as Collingwood president after 17 years, as part of a restructuring plan at the club that will see him replaced by Peter Jackson.
The decision has been made following the fallout from McGuire's appearance on The Footy Show in 2018, where he used the n-word while describing comedian Billy Connolly.
McGuire also used the term on Friday's show, which led to him being dropped from his co-hosting role and a wave of backlash from the club's members.
READ MORE: 'I can never go back': Collingwood president Eddie McGuire resigns
McGuire stepped down as president and will be replaced by Collingwood Life Member Peter Jackson, with the club's vice president Craig Kelly taking on McGuire's former position of chief executive.
Jackson has been an integral part of the Collingwood football department for more than 20 years, starting out as the club's recruiting and player development manager.
The ","
Eddie McGuire has stepped down as Collingwood president after 17 years, as part of a restructuring plan at the club that will see him replaced by Peter Jackson.
The decision has been made following the fallout from McGuire's appearance on The Footy Show in 2018, where he used the n-word while describing comedian Billy Connolly.
McGuire also used the term on Friday's show, which led to him being dropped from his co-hosting role and a wave of backlash from the club's members.
READ MORE: 'I can never go back': Collingwood president Eddie McGuire resigns
McGuire stepped down as president and will be replaced by Collingwood Life Member Peter Jackson, with the club's vice president Craig Kelly taking on McGuire's former position of chief executive.
Jackson has been an integral part of the Collingwood football department for more than 20 years, starting out as the club's recruiting and player development manager.
The ",Politics
somalia government opposition clash in mogadishu over election,20 February 2021,"20 February 2021 - somalia government opposition clash in mogadishu over election
Somalia: The government has issued an ultimatum to the opposition leaders to return to Mogadishu to attend the inauguration of the new president of the country, after more than a week of clashes that have left dozens of people dead and injured.
The deadline is set for February 24, Wednesday, which also marks the start of a new parliamentary term and a new presidential term.
According to Reuters, the leaders have been invited to the inauguration, which is scheduled for Thursday, February 25.
Somali President Mohamed Abdullahi Mohamed, better known as Farmajo, is scheduled to be sworn in for a second term on Thursday, although he did not take office after his first term was ended by parliamentarians in 2020.
The Somali president has been under fire for his inability to resolve the political crisis in Somalia, which is dominated by warlords and tribal leaders.
The political situation in the country was made worse when the opposition forces withdrew their support for the president last year, accusing","
Somalia: The government has issued an ultimatum to the opposition leaders to return to Mogadishu to attend the inauguration of the new president of the country, after more than a week of clashes that have left dozens of people dead and injured.
The deadline is set for February 24, Wednesday, which also marks the start of a new parliamentary term and a new presidential term.
According to Reuters, the leaders have been invited to the inauguration, which is scheduled for Thursday, February 25.
Somali President Mohamed Abdullahi Mohamed, better known as Farmajo, is scheduled to be sworn in for a second term on Thursday, although he did not take office after his first term was ended by parliamentarians in 2020.
The Somali president has been under fire for his inability to resolve the political crisis in Somalia, which is dominated by warlords and tribal leaders.
The political situation in the country was made worse when the opposition forces withdrew their support for the president last year, accusing",Politics
federal government announces improvement in,16 December 2021,"16 December 2021 - federal government announces improvement in the international situation in the South China Sea
The situation in the South China Sea is improving, according to an analysis published by the Australian Strategic Policy Institute (ASPI) on 15 December. The ASPI is a government-funded think tank and is considered to be one of Australia's foremost international relations organisations. In the report, the ASPI notes that a change in Chinese policy may have contributed to the improvement in the situation. The report states that ""there have been no reports of serious incidents in the South China Sea in 2021"", and that the ""Chinese government seems to have stopped pressuring Vietnam to accept Beijing’s nine-dash line."" According to the report, this is ""the most significant positive development since 2013"" regarding the issue of maritime boundaries in the South China Sea. The report suggests that this development can be explained by the influence of ""President Xi Jinping's anti-corruption campaign"" within the Chinese government.
The ASPI analysis states that the Chinese government's """," the international situation in the South China Sea
The situation in the South China Sea is improving, according to an analysis published by the Australian Strategic Policy Institute (ASPI) on 15 December. The ASPI is a government-funded think tank and is considered to be one of Australia's foremost international relations organisations. In the report, the ASPI notes that a change in Chinese policy may have contributed to the improvement in the situation. The report states that ""there have been no reports of serious incidents in the South China Sea in 2021"", and that the ""Chinese government seems to have stopped pressuring Vietnam to accept Beijing’s nine-dash line."" According to the report, this is ""the most significant positive development since 2013"" regarding the issue of maritime boundaries in the South China Sea. The report suggests that this development can be explained by the influence of ""President Xi Jinping's anti-corruption campaign"" within the Chinese government.
The ASPI analysis states that the Chinese government's """,Politics
government to establish broad inquiry into,21 October 2021,"21 October 2021 - government to establish broad inquiry into Australia's mental health and suicide prevention system.
The government will establish a broad inquiry into Australia's mental health and suicide prevention system, including the role of medical, clinical and other health professionals in the system, with a focus on Aboriginal and Torres Strait Islander people.
Attorney-General and Minister for Health and Aged Care, Mark Dreyfus, said that the Government was committed to reducing suicide rates in Australia, which were one of the highest in the developed world.
""We are currently undertaking a major review of the Commonwealth’s mental health system and are in the process of developing a national suicide prevention strategy to be released next year,"" Minister Dreyfus said.
""I am establishing this inquiry as part of a broader package of measures to be announced in the 2021–22 Budget.
""Aboriginal and Torres Strait Islander people are over three times more likely to experience mental ill-health and suicide than non-Indigenous Australians, so it is essential that this inquiry is inclusive of the voices"," Australia's mental health and suicide prevention system.
The government will establish a broad inquiry into Australia's mental health and suicide prevention system, including the role of medical, clinical and other health professionals in the system, with a focus on Aboriginal and Torres Strait Islander people.
Attorney-General and Minister for Health and Aged Care, Mark Dreyfus, said that the Government was committed to reducing suicide rates in Australia, which were one of the highest in the developed world.
""We are currently undertaking a major review of the Commonwealth’s mental health system and are in the process of developing a national suicide prevention strategy to be released next year,"" Minister Dreyfus said.
""I am establishing this inquiry as part of a broader package of measures to be announced in the 2021–22 Budget.
""Aboriginal and Torres Strait Islander people are over three times more likely to experience mental ill-health and suicide than non-Indigenous Australians, so it is essential that this inquiry is inclusive of the voices",Politics
donald trump impeachment senate trial key takeaways day four,13 February 2021,"13 February 2021 - donald trump impeachment senate trial key takeaways day four
Donald Trump impeachment Senate trial: key takeaways from Day Four
Former US President Donald Trump is accused of inciting a mob that violently stormed the Capitol last week, as the second day of his impeachment trial kicked off.
What are Trump's arguments for acquittal?
Trump’s defence team argues that Trump didn’t incite an insurrection but instead urged people to protest against a result of the election they felt was unfair.
Trump lawyer Bruce Castor told the trial that Trump’s supporters felt that the November election was “stolen” by Democrats through a “massive fraud” and they “had to do something”.
“The president told them to peacefully protest the election results, and he did so repeatedly,” he said.
Castor argued that Trump’s words did not “rise to the level of an incitement”, but “a call to action to a peaceful protest.”
What was the reaction to the defence team’s opening arguments?
Trump’s defence team has so far been accused of being “in","
Donald Trump impeachment Senate trial: key takeaways from Day Four
Former US President Donald Trump is accused of inciting a mob that violently stormed the Capitol last week, as the second day of his impeachment trial kicked off.
What are Trump's arguments for acquittal?
Trump’s defence team argues that Trump didn’t incite an insurrection but instead urged people to protest against a result of the election they felt was unfair.
Trump lawyer Bruce Castor told the trial that Trump’s supporters felt that the November election was “stolen” by Democrats through a “massive fraud” and they “had to do something”.
“The president told them to peacefully protest the election results, and he did so repeatedly,” he said.
Castor argued that Trump’s words did not “rise to the level of an incitement”, but “a call to action to a peaceful protest.”
What was the reaction to the defence team’s opening arguments?
Trump’s defence team has so far been accused of being “in",Politics
nsw government net zero fund $750 million program,08 March 2021,"08 March 2021 - nsw government net zero fund $750 million program
The NSW Government has launched a $750 million program to fund climate change initiatives across the state. The initiative is part of the NSW Net Zero Emissions Plan, which seeks to reduce carbon emissions to zero by 2050. The $750 million will be made available to projects that can demonstrate how they will reduce emissions by 10 percent or more. The program will fund projects in three areas: energy efficiency, renewables, and emissions reduction. Energy efficiency projects will focus on reducing energy consumption in existing buildings and equipment. Renewables projects will focus on increasing the use of renewable energy sources, such as solar and wind. Emissions reduction projects will focus on reducing greenhouse gas emissions from industrial processes. The program will be administered by the Department of Planning, Industry and Environment. It will provide grants to projects that can demonstrate how they will reduce emissions by 10 percent or more. Projects can apply for grants of up to $10 million. The program is expected to be available for applications in June 202","
The NSW Government has launched a $750 million program to fund climate change initiatives across the state. The initiative is part of the NSW Net Zero Emissions Plan, which seeks to reduce carbon emissions to zero by 2050. The $750 million will be made available to projects that can demonstrate how they will reduce emissions by 10 percent or more. The program will fund projects in three areas: energy efficiency, renewables, and emissions reduction. Energy efficiency projects will focus on reducing energy consumption in existing buildings and equipment. Renewables projects will focus on increasing the use of renewable energy sources, such as solar and wind. Emissions reduction projects will focus on reducing greenhouse gas emissions from industrial processes. The program will be administered by the Department of Planning, Industry and Environment. It will provide grants to projects that can demonstrate how they will reduce emissions by 10 percent or more. Projects can apply for grants of up to $10 million. The program is expected to be available for applications in June 202",Politics
