Original_Text,Formatted_Date,Generated_Full_Response,Extracted_Key_Response,Category
maitland hospital security questioned,31 August 2011,"31 August 2011 - maitland hospital security questioned
Maitland Hospital security questioned
An investigation is under way into claims of serious failings in security at the Maitland hospital.
The investigation by the Office of the Government Statistician follows a report by the Australian Institute of Health and Welfare that found serious deficiencies in hospital security, including insufficient staff, poor security systems and ineffective communication between staff.
Maitland hospital has the second highest rate of sexual assaults on women in NSW, according to the report.
Maitland Base Hospital director Peter Kelly told the Newcastle Herald the hospital was taking the matter seriously. ""We are taking this very seriously, and the OGS is taking it even more seriously,"" he said.
Mr Kelly said the report was very detailed and he expected a formal report on its findings within three months.
Mr Kelly also confirmed the hospital had 12 security guards on site, but he said the hospital was working on a plan to increase the number to 16.
The hospital has had no sexual assaults since May 2011","
Maitland Hospital security questioned
An investigation is under way into claims of serious failings in security at the Maitland hospital.
The investigation by the Office of the Government Statistician follows a report by the Australian Institute of Health and Welfare that found serious deficiencies in hospital security, including insufficient staff, poor security systems and ineffective communication between staff.
Maitland hospital has the second highest rate of sexual assaults on women in NSW, according to the report.
Maitland Base Hospital director Peter Kelly told the Newcastle Herald the hospital was taking the matter seriously. ""We are taking this very seriously, and the OGS is taking it even more seriously,"" he said.
Mr Kelly said the report was very detailed and he expected a formal report on its findings within three months.
Mr Kelly also confirmed the hospital had 12 security guards on site, but he said the hospital was working on a plan to increase the number to 16.
The hospital has had no sexual assaults since May 2011",Health
expert to help form hospital business plan,18 April 2011,"18 April 2011 - expert to help form hospital business plan
17 April 2011 - New hospital service in Fife opens for business
12 April 2011 - hospital re-opens for business
5 April 2011 - new hospital service in Fife opens for business
5 April 2011 - new hospital service in Fife opens for business
3 April 2011 - hospital re-opens for business
23 March 2011 - new hospital service in Fife opens for business
22 March 2011 - new hospital service in Fife opens for business
22 March 2011 - new hospital service in Fife opens for business
8 March 2011 - NHS Fife appoints expert to help form hospital business plan
7 March 2011 - new hospital service in Fife opens for business
4 March 2011 - new hospital service in Fife opens for business
3 March 2011 - NHS Fife appoints expert to help form hospital business plan
3 March 2011 - NHS","
17 April 2011 - New hospital service in Fife opens for business
12 April 2011 - hospital re-opens for business
5 April 2011 - new hospital service in Fife opens for business
5 April 2011 - new hospital service in Fife opens for business
3 April 2011 - hospital re-opens for business
23 March 2011 - new hospital service in Fife opens for business
22 March 2011 - new hospital service in Fife opens for business
22 March 2011 - new hospital service in Fife opens for business
8 March 2011 - NHS Fife appoints expert to help form hospital business plan
7 March 2011 - new hospital service in Fife opens for business
4 March 2011 - new hospital service in Fife opens for business
3 March 2011 - NHS Fife appoints expert to help form hospital business plan
3 March 2011 - NHS",Health
minister to consider hospital parking options,24 March 2011,"24 March 2011 - minister to consider hospital parking options
The NSW Government will consider new options for hospital parking fees to try to make sure patients and visitors can still access free parking.
Transport and Infrastructure Minister David Campbell will discuss the issue with his health and transport counterparts at a meeting of the Standing Committee of Senior Officials today.
""I have asked that they consider new ideas and options that could be used in future negotiations on hospital parking,"" Mr Campbell said.
The NSW Government has been negotiating with the hospitals to help them with their operating deficits and to improve patient access to emergency departments. A number of other measures are being considered, including the possibility of an additional levy on patients who receive treatment at public hospitals.
The Government has made it clear it will not impose a blanket levy on patients who use public hospitals, but it is still considering the option.
The meeting today is also an opportunity for senior officials to discuss other issues affecting the movement of people and goods around NSW, including the state's response to the floods.
""We are pleased that the recent floods did not affect","
The NSW Government will consider new options for hospital parking fees to try to make sure patients and visitors can still access free parking.
Transport and Infrastructure Minister David Campbell will discuss the issue with his health and transport counterparts at a meeting of the Standing Committee of Senior Officials today.
""I have asked that they consider new ideas and options that could be used in future negotiations on hospital parking,"" Mr Campbell said.
The NSW Government has been negotiating with the hospitals to help them with their operating deficits and to improve patient access to emergency departments. A number of other measures are being considered, including the possibility of an additional levy on patients who receive treatment at public hospitals.
The Government has made it clear it will not impose a blanket levy on patients who use public hospitals, but it is still considering the option.
The meeting today is also an opportunity for senior officials to discuss other issues affecting the movement of people and goods around NSW, including the state's response to the floods.
""We are pleased that the recent floods did not affect",Health
bed shortages remain despite townsville hospital upgrade,15 July 2011,"15 July 2011 - bed shortages remain despite townsville hospital upgrade
The Queensland Government has announced $3.5 billion in funding to build a new hospital in Townsville.
Minister for Health Lawrence Springborg today said Townsville Hospital was now operating at full capacity, with waiting lists for all elective surgery at or above 12 months. But despite this funding, there is still no sign of a new hospital.
The Queensland Council of Unions (QCU) has criticised the government for ignoring the problems at Townsville Hospital and instead spending millions of dollars on the proposed $10.7 million upgrade to a townsville aged care facility.
QCU President Mark Bricknell said the announcement by the Health Minister on the new hospital is nothing more than a photo opportunity.
""Townsville Hospital has been operating at capacity for over 10 years. It's obvious the Queensland Government doesn't give a damn about the people of Townsville and their hospital.
""It's not about money, it's about politics. This announcement is simply about getting the support of voters in the upcoming","
The Queensland Government has announced $3.5 billion in funding to build a new hospital in Townsville.
Minister for Health Lawrence Springborg today said Townsville Hospital was now operating at full capacity, with waiting lists for all elective surgery at or above 12 months. But despite this funding, there is still no sign of a new hospital.
The Queensland Council of Unions (QCU) has criticised the government for ignoring the problems at Townsville Hospital and instead spending millions of dollars on the proposed $10.7 million upgrade to a townsville aged care facility.
QCU President Mark Bricknell said the announcement by the Health Minister on the new hospital is nothing more than a photo opportunity.
""Townsville Hospital has been operating at capacity for over 10 years. It's obvious the Queensland Government doesn't give a damn about the people of Townsville and their hospital.
""It's not about money, it's about politics. This announcement is simply about getting the support of voters in the upcoming",Health
hospital head case reserved,19 March 2011,"19 March 2011 - hospital head case reserved
18 March 2011 - police chief case adjourned
17 March 2011 - ex-bank employee case adjourned
15 March 2011 - police chief case reserved
11 March 2011 - 2nd case of 2-day sittings
10 March 2011 - ex-bank employee case reserved
10 March 2011 - head of hospital case reserved
10 March 2011 - former police chief case reserved
10 March 2011 - 3rd case of 2-day sittings
10 March 2011 - ex-bank employee case reserved
10 March 2011 - head of hospital case reserved
10 March 2011 - former police chief case reserved
10 March 2011 - ex-bank employee case reserved
10 March 2011 - head of hospital case reserved
10 March 2011 - former police chief case reserved
10 March 2011 - ex-bank employee case reserved
10 March","
18 March 2011 - police chief case adjourned
17 March 2011 - ex-bank employee case adjourned
15 March 2011 - police chief case reserved
11 March 2011 - 2nd case of 2-day sittings
10 March 2011 - ex-bank employee case reserved
10 March 2011 - head of hospital case reserved
10 March 2011 - former police chief case reserved
10 March 2011 - 3rd case of 2-day sittings
10 March 2011 - ex-bank employee case reserved
10 March 2011 - head of hospital case reserved
10 March 2011 - former police chief case reserved
10 March 2011 - ex-bank employee case reserved
10 March 2011 - head of hospital case reserved
10 March 2011 - former police chief case reserved
10 March 2011 - ex-bank employee case reserved
10 March",Health
irresponsible hospital staffer caused bomb scare,09 February 2011,"09 February 2011 - irresponsible hospital staffer caused bomb scare
The Health Service Executive and HSE's National Ambulance Service has apologised to a local mother whose five-month-old son suffered a suspected brain haemorrhage after a nurse put an IV drip into his foot.
Sinead Conroy and her husband Jason were at home with their newborn son Luke in Castlepollard, Co Westmeath, on Monday, when they realised something was wrong with him. Ms Conroy said that when she went to call the doctor the hospital's switchboard said that all emergency services were on standby due to a bomb scare.
""Two ambulances came to the house and there was another one in the car park,"" Ms Conroy said.
""Five of them were just sitting outside with their sirens on. There was a nurse in the ambulance saying 'I'm sorry' and he looked at me and said 'I didn't mean to do that, I thought it was the other foot, I'm sorry' - he was very apologetic","
The Health Service Executive and HSE's National Ambulance Service has apologised to a local mother whose five-month-old son suffered a suspected brain haemorrhage after a nurse put an IV drip into his foot.
Sinead Conroy and her husband Jason were at home with their newborn son Luke in Castlepollard, Co Westmeath, on Monday, when they realised something was wrong with him. Ms Conroy said that when she went to call the doctor the hospital's switchboard said that all emergency services were on standby due to a bomb scare.
""Two ambulances came to the house and there was another one in the car park,"" Ms Conroy said.
""Five of them were just sitting outside with their sirens on. There was a nurse in the ambulance saying 'I'm sorry' and he looked at me and said 'I didn't mean to do that, I thought it was the other foot, I'm sorry' - he was very apologetic",Health
remembrance day public hospitals,11 November 2011,"11 November 2011 - remembrance day public hospitals
The Australian and New Zealand Society of Nephrology (ANZSN) is calling on all renal health professionals to take time out today to reflect on the lives lost in the two world wars. This is a special time for us to honour all those who lost their lives in the service of their countries, in particular our renal community members. They include:
Renal doctors who served as medical officers with the Australian and New Zealand Armies;
Nephrologists who died in service in the Pacific War;
Nephrologists and nurses who served in the Korean War; and
Renal nurses who served in both world wars and in other military theatres.
The ANZSN is pleased to be associated with the Renal Association of Australia, the Society of Nephrology of New Zealand and the Australian and New Zealand Society of Nephrology in the joint publication of this remembrance day public hospital notice.
ANZSN President
Professor Mike Bennett","
The Australian and New Zealand Society of Nephrology (ANZSN) is calling on all renal health professionals to take time out today to reflect on the lives lost in the two world wars. This is a special time for us to honour all those who lost their lives in the service of their countries, in particular our renal community members. They include:
Renal doctors who served as medical officers with the Australian and New Zealand Armies;
Nephrologists who died in service in the Pacific War;
Nephrologists and nurses who served in the Korean War; and
Renal nurses who served in both world wars and in other military theatres.
The ANZSN is pleased to be associated with the Renal Association of Australia, the Society of Nephrology of New Zealand and the Australian and New Zealand Society of Nephrology in the joint publication of this remembrance day public hospital notice.
ANZSN President
Professor Mike Bennett",Health
private hospital cuts nurse jobs,08 July 2011,"08 July 2011 - private hospital cuts nurse jobs
A private hospital in Dublin has taken the unusual step of cutting the number of nurses it employs. The St Vincent's Hospital in Dublin has announced plans to reduce the number of nurses working at the hospital by 16.
In a statement, the hospital said that nurses had been told of the decision to cut jobs. The hospital has said that it will reduce its workforce by 16, and has not ruled out cutting the number of wards at the hospital.
The decision has been widely condemned by the Irish Nurses and Midwives Organisation (INMO). The INMO says that the reduction of jobs at the hospital will affect patient care.
The INMO has said that there is already an understaffing problem at the hospital. In the statement, the INMO has criticised the hospital for taking the decision to cut jobs.
The hospital has said that the decision to cut jobs was necessary to reduce costs. The hospital has said that it will try to find alternative ways to staff the hospital, and has said that","
A private hospital in Dublin has taken the unusual step of cutting the number of nurses it employs. The St Vincent's Hospital in Dublin has announced plans to reduce the number of nurses working at the hospital by 16.
In a statement, the hospital said that nurses had been told of the decision to cut jobs. The hospital has said that it will reduce its workforce by 16, and has not ruled out cutting the number of wards at the hospital.
The decision has been widely condemned by the Irish Nurses and Midwives Organisation (INMO). The INMO says that the reduction of jobs at the hospital will affect patient care.
The INMO has said that there is already an understaffing problem at the hospital. In the statement, the INMO has criticised the hospital for taking the decision to cut jobs.
The hospital has said that the decision to cut jobs was necessary to reduce costs. The hospital has said that it will try to find alternative ways to staff the hospital, and has said that",Health
family sues over flu vaccine reaction,24 June 2011,"24 June 2011 - family sues over flu vaccine reaction
A family are suing NHS staff over claims their son died of sepsis after a flu vaccine jab.
The 15-year-old boy died at a hospital in Nottingham following the jab at school.
His family claim the NHS has failed to warn parents of the dangers of the vaccine.
The case is being brought against Nottinghamshire Healthcare NHS Trust and the government.
A spokesman for the trust said it could not comment as the case is before the courts.
It is thought to be the first time a family has brought a case against a health trust over a flu vaccine.
The boy developed a sore throat after the jab in October 2009. Within 24 hours he developed a fever and the next day he had sepsis, or blood poisoning, and was transferred to Nottingham City Hospital.
He died 10 days later.
In 2008 the Department of Health admitted there were problems with the flu vaccine. More than 800 patients were admitted to hospital following flu vaccinations.
The UK government has since","
A family are suing NHS staff over claims their son died of sepsis after a flu vaccine jab.
The 15-year-old boy died at a hospital in Nottingham following the jab at school.
His family claim the NHS has failed to warn parents of the dangers of the vaccine.
The case is being brought against Nottinghamshire Healthcare NHS Trust and the government.
A spokesman for the trust said it could not comment as the case is before the courts.
It is thought to be the first time a family has brought a case against a health trust over a flu vaccine.
The boy developed a sore throat after the jab in October 2009. Within 24 hours he developed a fever and the next day he had sepsis, or blood poisoning, and was transferred to Nottingham City Hospital.
He died 10 days later.
In 2008 the Department of Health admitted there were problems with the flu vaccine. More than 800 patients were admitted to hospital following flu vaccinations.
The UK government has since",Health
sydney man flown to hospital after near drowning,28 December 2011,"28 December 2011 - sydney man flown to hospital after near drowning in water near crows nest
Sydney man flown to hospital after near drowning in water near Crows Nest
An elderly man has been airlifted to hospital after he was found clinging to a small buoy off the coast near Crows Nest.
Paramedics from NSW Ambulance arrived at a remote area near Crows Nest at 10.45am to find the 76-year-old male in distress.
The man was unconscious and not breathing.
A NSW Ambulance spokesperson said it took two paramedics two minutes to find him and another two minutes to place him into a coma before he could be flown by helicopter to Royal North Shore Hospital in a stable condition.
The water was believed to have been about three metres deep at the time of the incident.
There was also an Australian Maritime Safety Authority vessel at the scene.
  1. What a good rescue from two paramedics to be able to airlift him to hospital. Reply Delete"," in water near crows nest
Sydney man flown to hospital after near drowning in water near Crows Nest
An elderly man has been airlifted to hospital after he was found clinging to a small buoy off the coast near Crows Nest.
Paramedics from NSW Ambulance arrived at a remote area near Crows Nest at 10.45am to find the 76-year-old male in distress.
The man was unconscious and not breathing.
A NSW Ambulance spokesperson said it took two paramedics two minutes to find him and another two minutes to place him into a coma before he could be flown by helicopter to Royal North Shore Hospital in a stable condition.
The water was believed to have been about three metres deep at the time of the incident.
There was also an Australian Maritime Safety Authority vessel at the scene.
  1. What a good rescue from two paramedics to be able to airlift him to hospital. Reply Delete",Health
three in hospital after car truck crash,29 July 2011,"29 July 2011 - three in hospital after car truck crash
3 men injured in a crash between a car and a truck.
At 4:15 p.m. on Friday, July 29, 2011, a Honda CRV and a Freightliner truck collided at the intersection of Hwy 401 and 400 near the city of Bowmanville, east of Cobourg.
A 43-year-old Toronto man was driving a Honda CRV south on the 401 and he stopped at the Hwy 400 exit ramp. The truck then crashed into the side of the CRV.
The Honda CRV flipped over and came to rest on its roof in the ditch beside the road. It was badly damaged. The driver of the truck, a 55-year-old man from Bowmanville, was not injured.
The driver of the CRV was transported by air ambulance to North York General Hospital. The two passengers, a 27-year-old Toronto man and a 25-year-old Toronto man, were also transported by air ambulance to the same hospital.
This","
3 men injured in a crash between a car and a truck.
At 4:15 p.m. on Friday, July 29, 2011, a Honda CRV and a Freightliner truck collided at the intersection of Hwy 401 and 400 near the city of Bowmanville, east of Cobourg.
A 43-year-old Toronto man was driving a Honda CRV south on the 401 and he stopped at the Hwy 400 exit ramp. The truck then crashed into the side of the CRV.
The Honda CRV flipped over and came to rest on its roof in the ditch beside the road. It was badly damaged. The driver of the truck, a 55-year-old man from Bowmanville, was not injured.
The driver of the CRV was transported by air ambulance to North York General Hospital. The two passengers, a 27-year-old Toronto man and a 25-year-old Toronto man, were also transported by air ambulance to the same hospital.
This",Health
