Text,Prob_2013,Prob_2023,Difference
"In 2023, China's leader Xi Jinping touched down in San Francisco for the APEC summit. In a pitch to US business leaders Wednesday, he was at pains to stress his commitment to peaceful coexistence with US. “We seek peace and develop together with all countries,” he said, adding that the world was “better off with China.” In his speech, he did not mention Taiwan, which has long been a sore point between the two countries. His words were not intended to be interpreted as an olive branch to Taiwan, a democratic island that Beijing has long claimed as its own, but as a statement of friendship with the United States, the democratically elected Taiwanese government and all democracies in the world.
But Xi Jinping has his eyes on Taiwan, and he is not afraid to make the point in a way that cannot be interpreted otherwise. “I want to make one thing clear. Taiwan is China’s sacred territory. Anyone who tries to split Taiwan from China is making a big mistake,” he said in his speech, which was later shared on his official website. He continued, “The Chinese government will never allow anyone to separate Taiwan from China.”
This statement is not just a threat to Taiwan, it is",-662700032.0,-662700032.0,0.0
"In 2023, Melanie Tait set up charity in honour of Jordan Sinnott, who was fatally injured in Retford, Nottinghamshire, in 2020. She helped to raise money by jumping out of a plane earlier this year. (Image: Melanie Tait) Melanie Tait has set up a new charity in memory of Jordan Sinnott, 23, who died following an assault in Retford, Nottinghamshire, in 2020.
Jordan was left with serious head injuries when he was attacked in a car park at the Co-Op store in Bawtry Road, Retford.
He was taken to hospital, but was sadly pronounced dead later that day. His death was treated as a homicide.
In 2023, Melanie Tait set up charity in honour of Jordan Sinnott, who was fatally injured in Retford, Nottinghamshire, in 2020. She helped to raise money by jumping out of a plane earlier this year. (Image: Melanie Tait) The charity will raise funds for the newly built Jordan Sinnott Community Centre, which is named after Jordan, who was described as ""the life and soul of the party"" by his family.
Melanie said: ""Jordan was always there to",-704643072.0,-708837376.0,4194304.0
"In 2023, Today software does not come with information labels that clearly says what you’re about to use in standard, simple language. Regulators use nutrition labels to prevent false advertising and promote food safety. We have an opportunity to re-think health technology labeling to rebuild trust and help people make better choices. 
The FDA has published a draft label for a drug called Lasmiditan that claims it is an “over-the-counter treatment” for migraines. However, the FDA did not require a nutrition label to accompany this drug. A nutrition label would have alerted consumers that the drug has serious and potentially dangerous side effects. 
In 2023, when it comes to technology, people rely on information labels to make decisions. The same is true for consumer products like food. We should be requiring technology to have the same information labels. Without labels, people are not getting the full picture and are vulnerable to being misled.
In 2023, when it comes to technology, people rely on information labels to make decisions. The same is true for consumer products like food. We should be requiring technology to have the same information labels. Without labels, people are not getting the full picture and are vulnerable to being misled.
We have an opportunity to re-think health technology labeling to rebuild trust and help people",-734003200.0,-734003200.0,0.0
"In 2023, High tides and wind caused a road to collapse at Pakefield Holiday Park in Lowestoft, Suffolk. A suspected unexploded device was found at the base of a cliff a few hundred metres away. A controlled explosion has been carried out on the device. However, it has not been confirmed that it was a bomb.
Pakefield Holiday Park
Pakefield Holiday Park is a popular holiday park in Suffolk, England. It is located near the town of Lowestoft, which is famous for its picturesque seaside location and coastal attractions. The park offers a range of accommodation options, including caravans, chalets, and tents, and is known for its family-friendly atmosphere and stunning views of the surrounding countryside.
In 2023, High tides and wind caused a road to collapse at Pakefield Holiday Park, which is located near the coast. The incident occurred on the evening of Thursday, October 12, and caused a section of the road to give way, leaving several holidaymakers stranded. Fortunately, no injuries were reported, and the park’s management team worked quickly to clear the area and re-establish access to the site.
The incident sparked concern among holidaymakers, as it highlighted the importance of being prepared for extreme weather conditions, especially",-771751936.0,-775946240.0,4194304.0
"In 2023,  northrop grumman is partnering with voyager space to work on starlab. The companies will develop ‘fully autonomous rendezvous and docking technology’ to leverage northrop's cygnus spacecraft. Voyagers’ spacecraft, known as ‘voyager’, was originally developed by the company as part of its contract with the spaceforce. Starlab’s goal is to be a ‘microgravity laboratory’ for research and development. Starlab will offer a wide variety of research opportunities, with everything from biology to materials and manufacturing, and will be located in a highly stable orbit. Northrop and voyager hope to complete their first test in 2024.
Astronauts on voyager 2 are in the process of conducting the first scientific experiments on voyager 3. Voyager 2 launched on june 5, 2023, and is now heading to the edge of the solar system. The goal is to conduct scientific experiments on voyager 3, and the first is a study of the effects of ultraviolet light on plants. The experiment involves using a plant that is sensitive to ultraviolet light, and measuring how the plant reacts to the light.
The team is also working",-662700032.0,-662700032.0,0.0
"In 2023, Sienna Senior Living Inc. announces a dividend of $0.078 per common share of the Company (each, a “Common Share”) for the month of November 2023. The dividend will be payable on December 15, 2023 to shareholders of record as at November 30, 20 23.",-205520896.0,-205520896.0,0.0
"In 2023, Dimensional Fund Advisors LP cut its holdings in Regal Rexnord Co. (NYSE:RRX–Free Report) by 1.1% during the second quarter, according to its most recent Form 13F filing with the SEC. The fund owned 1,365,677 shares of the company’s stock after selling 15,562 shares during the period. A number of other large investors have also recently added to or reduced their stakes in RRX. Dimensional Fund Advisors LP grew its position in shares of Regal Rexnord by 1.1% in the first quarter. Dimensional Fund Advisors LP now owns 4,075,956 shares of the company’s stock worth $85,392,000 after purchasing an additional 43,842 shares during the period. Vanguard Group Inc. boosted its stake in Regal Rexnord by 7.7% in the first quarter. Vanguard Group Inc. now owns 4,038,380 shares of the company’s stock worth $84,045,000 after acquiring an additional 286,755 shares during the last quarter. State Street Corp grew its position in Regal Rexnord by 3.8% during the fourth quarter. State Street Corp now owns 2,715,556 shares of the company’s stock worth $46,665,000 after purchasing an additional 99,420 shares during the period. Millennium Management LLC grew its position in Regal Rexn",-939524096.0,-939524096.0,0.0
"In 2023, Right-wing libertarian Javier Milei is Argentina’snew president-elect. Milei, a 53-year-old congressman, took nearly 56 percent of the vote. Economy Minister Sergio Massa conceded before the results were announced. “I want to say that we are starting with humility. It’s the will of the Argentine people,” said Massa, a member of the center-left Peronist Party. A victory for Milei has been met with a wave of concern from the international community. 
In a post on social media, United Nations Secretary-General Antonio Guterres, called on the incoming president-elect to “put an end to the current political impasse and to act to guarantee respect for democratic institutions and constitutional rights. Guterres also urged him to work with the new Parliament to address the “growing political and economic crisis.” 
Milei has faced controversy in his career. He was once imprisoned for allegedly inciting riots, and he later led a protest march with a group called the “Free the People March.” 
In his campaign for president, Milei promised to cut taxes, cut public spending, eliminate social programs and “open” the country’s economy to investment. This has caused concern for",-666894336.0,-662700032.0,4194304.0
"In 2023, Kim Na hee, better known as Nahee, passed away on November 8 at the age of 24. The cause of the death has not been disclosed. Nahee made her debut in 2019 with the single “Blue City” and was most recently signed to Brand New Music and KQ Entertainment. Her discography includes “Cactus,” “Lemonade,” “Cherry,” “Bittersweet,” “Sweet Love,” “Flower Garden,” “Polaroid,” “A Girl Who Looks Forward,” “Blue City,” and “You.” Her last work was her 2023 single “Polaroid.” Nahee’s final song was also released through her Twitter account and Youtube channel.
The cause of death of the rising star is not yet known, but fans are sharing their memories of the star. Many of them have also expressed their condolences to her family. Nahee’s family and friends are praying for the peace and comfort of the star. The star has left a lasting legacy in the music industry. Fans have also shared their love and condolences through various social media channels. Nahee was a rising star with a promising career ahead of her.
What Happened To Nahee?
Nahee was an aspiring singer",-687865856.0,-687865856.0,0.0
"In 2023, Apple released iOS 17.1.1 on Tuesday. The update fixes a bug that caused Apple Pay and other NFC features on iPhone 15 handsets to stop working after charging the device using BMW’s in-car wireless chargers. Apple Pay NFC and other features like digital car keys on iPhone 15 and iPhone 15 Plus stopped working after charging using the BMW wireless charging pad. However, Apple has fixed this bug with iOS 17.1.1.
The issue affected the iPhone 15 series users who were using the wireless chargers of BMW and other vehicles. If you use an iPhone 15 or iPhone 15 Plus with NFC and you are using BMW’s wireless chargers then you should be able to get the update via Settings on your iPhone. After installing the update, the digital car keys will work perfectly well with the car.
Here are the iOS 17.1.1 changelog details.
iPhone 15 and iPhone 15 Plus users who are using the BMW wireless chargers will be able to charge their phones using these chargers after installing iOS 17.1.1.
The update also fixes an issue with Messages where you could not send iMessages to other users in some countries.
With this update",-700448768.0,-700448768.0,0.0
"In 2023, Polaris Market Research has published a recent study report titled""Unmanned Surface Vehicle Market (USVs) Share, Size, Trends, Industry Analysis Report, By Size (Extra-Large USV, Large USV), By Mode of operation; By Component; By Hull Type; By Endurance; By Application; By Region; Segment Forecast, 2023 - 2032"" According to [115+ Pages] research report, theglobal unmanned surface vehicle( USVs) market size & share is currently valued at USD 2.08 billion. The global unmanned surface vehicle( USVs) market is projected to grow at a CAGR of 11.1% to reach USD 6.46 billion by 2032.
Unmanned Surface Vehicle Market (USVs) Share, Size, Trends, Industry Analysis Report, By Size (Extra-Large USV, Large USV), By Mode of operation; By Component; By Hull Type; By Endurance; By Application; By Region; Segment Forecast, 2023 - 2032
Unmanned Surface Vehicle Market (USVs) Share, Size, Trends, Industry Analysis Report, By Size (Extra-Large USV, Large USV), By Mode of operation; By Component; By Hull Type; By Endurance; By Application; By Region; Segment Forecast, 2023 - 2032
An unmanned surface vehicle (USV) is an unmanned boat or ship that is operated without a human operator on board. USVs come in a range of",-952107008.0,-952107008.0,0.0
"In 2023, The number of women and children who lost their lives at the hands of Israel in Gaza over the last five weeks is a source of shame for humanity. The international community should no longer turn a blind eye to Israel's trampling on the law and all human values. The world must take urgent action to ensure that no more women and children suffer at the hands of the world's only apartheid state.
In 2023, the world stands on the precipice of a moral abyss. Israel's indiscriminate bombing of Gaza has claimed the lives of over 2,000 Palestinian civilians, including 600 children. The ongoing siege has resulted in 30,000 people displaced, with no sign of an end in sight. The international community has turned a blind eye to this humanitarian crisis, compounding the suffering of an already beleaguered people.
As the world sits in silence, the atrocities committed by Israel have gone largely unnoticed. While the world's attention has been focused on Ukraine, Israel has continued to engage in a campaign of collective punishment against the Palestinian people. The world has been silent as Israel has deliberately targeted civilian infrastructure, including schools, hospitals, and water and sanitation facilities. The world has turned a blind eye as Israel has carried out illegal home demolitions",-734003200.0,-734003200.0,0.0
"In 2023, Essex Financial Services Inc. raised its position in shares of Otis Worldwide Co. (NYSE:OTIS–Free Report) by 12.5% during the 2nd quarter. The institutional investor owned 17,296 shares of the company’s stock after buying an additional 1,918 shares during the quarter. Fiduciary Alliance LLC acquired a new stake inShares of Ot is Worldwide during the 1st quarter. Fiduciary Alliance LLC acquired a new stake in shares of Otis Worldwide Co. (NYSE:OTIS–Free Report) during the 1st quarter. Fiduciary Alliance LLC acquired a new stake in shares of Otis Worldwide Co. (NYSE:OTIS–Free Report) during the 1st quarter. Fiduciary Alliance LLC acquired a new stake in shares of Otis Worldwide Co. (NYSE:OTIS–Free Report) during the 1st quarter. Fiduciary Alliance LLC acquired a new stake in shares of Otis Worldwide Co. (NYSE:OTIS–Free Report) during the 1st quarter. Fiduciary Alliance LLC acquired a new stake in shares of Otis Worldwide Co. (NYSE:OTIS–Free Report) during the 1st quarter.
According to data from the Securities and Exchange Commission, 22 institutional investors own or lease 100,400,000 shares of Otis Worldwide Co.",-813694976.0,-809500672.0,4194304.0
"In 2023, Climate change is already negatively affecting inequality and poverty. The extent to which this happens at the micro-level remains relatively unexplored. This is particularly relevant in low- or middle-income countries. However, in such countries, access to the formal labour market is limited. As such, micro-level research has mostly focused on self-employed and household workers in developing countries.
This book presents an extensive overview of the most important issues regarding climate change and inequality. The focus lies on how climate change impacts income and assets and, as a result, living conditions. The book includes chapters from leading scholars, who analyse the impact of climate change on income inequality at the global level and for the four major climate change regions (the Northern, Southern, Eastern and Western hemispheres). A special section is dedicated to research on how climate change affects inequality within countries. The book further discusses the role of the climate change-affected populations in the debate on climate change. Lastly, the authors explore the role of climate change in the context of climate justice.
This book will be of interest to all scholars interested in climate change and inequality, with a focus on income and assets.",-645922816.0,-645922816.0,0.0
"In 2023, The global logistics automation market size is to grow from usd 32.55 billion in 2022 to usd 105.85 billion by 2032, at a compound annual growth rate (cagr) of 12.5%. automation in logistics includes the use of machinery, control systems, and software to improve operational efficiency. the market is driven by the increasing demand for faster and more efficient logistics services, as well as the development of new technologies that can improve the efficiency of logistics operations. the market is also being driven by the need to reduce costs and improve profitability in the logistics industry.
The global logistics automation market size is to grow from usd 32.55 billion in 2022 to usd 105.85 billion by 2032, at a compound annual growth rate (cagr) of 12.5%. automation in logistics includes the use of machinery, control systems, and software to improve operational efficiency. the market is driven by the increasing demand for faster and more efficient logistics services, as well as the development of new technologies that can improve the efficiency of logistics operations. the market is also being driven by the need to reduce costs and improve profitability in the logistics industry.
The market is segmented into machinery, software, and services. machinery includes the use of robotics, conveyors, and other types",-855638016.0,-855638016.0,0.0
"In 2023, New mobile scanners donated by China to Serbia are raising new questions about the protection of personal data. Little information was shared about the October 29 donation. Interior Ministry: Scanners ""will enable more effective detection of illegal goods"" In October, the Serbian government accepted a donation of three mobile scanners from the Chinese People’s Public Security University. The scanners were delivered on the 29th. After that, the police issued a statement, which was published on the Ministry of Interior’s official Facebook page. The text of the statement says that “China donated 3 mobile scanners to the Serbian Ministry of Interior in order to better detect illegal goods. The mobile scanners are mobile and can be easily transported, and thus can be used for patrols at border crossings. The scanners will enable more effective detection of illegal goods, which is a great help in the fight against illegal goods and the fight against human trafficking, and the fight against all forms of criminality.”
The statement was translated into English, but no further information has been provided about the specific devices and their purpose. The scanners were delivered on October 29, but the donation was not publicly announced until after that. The donation was confirmed by the Ministry of Interior at a press conference on October",-671088640.0,-675282944.0,4194304.0
"In 2023, Savile owned Allt-na-Reigh cottage in Glen Coe from 1998 until his death in 2011. It has been proposed to demolish the cottage and build a family home. Previous plans for the site were withdrawn after concerns the design did not fit the landscape. This was a 12-year legal battle which saw the Savile Trust appeal to the Supreme Court to overturn a lower court’s decision.",-243269632.0,-242221056.0,1048576.0
"In 2023, The 1973 october war, the devastating invasion that arab armies launched precisely 50 years earlier, plus a day. It was the last time israelis awoke to a life-changing assault that its intelligence apparatus had not seen coming. Another analogue might be the tet offensive, the 1968 viet cong surprise attack that changed the course of the vietnam war. But this analogy may miss something important: in the years since 1973, israelis have had to face a very different threat. They’ve had to deal with a nuclear armenia. They’ve had to fight Hezbollah. They’ve had to fight isis, islamists, and al-qaeda.
Now, for the first time, israel is facing a massive and coordinated multi-front war with iranian-backed proxy armies on its northern, eastern, and southern borders. A new kind of threat is challenging the old way of doing things. And the old way of doing things is no longer working. The same old tactics are proving ineffective against this new enemy. That’s why, on february 20th, israel launched what many are calling a game-changing strike against the nuclear program of iran.
Is the strike a preemptive one, or is it a preventative one? Is it a warning shot across the bow, or a warning shot at the bow? Will",-734003200.0,-729808896.0,4194304.0
"In 2023, Shares ofNYSE LXPopened at $8.45 on Wednesday. The firm has a market capitalization of $2.47 billion. The company has a debt-to-equity ratio of 0.19. The company’s net margin is 2.39%. The shares of the company currently has a price to book ratio of 2.72.
NYSE:LXP",-219152384.0,-219152384.0,0.0
"In 2023, Acadian Asset Management LLC increased its holdings in Ooma, Inc. (NYSE:OOMA–Free Report) by 1.2% in the second quarter. The firm owned 347,341 shares of the technology company’s stock after acquiring an additional 4,116 shares during the quarter. Other institutional investors and hedge funds also recently added to or reduced their stakes in the company. During the first quarter, a group of hedge funds added to or reduced their stakes in the company. Finally, BlackRock Inc. increased its position in Ooma, Inc. (NYSE:OOMA–Free Report) by 0.3% in the first quarter. The fund now owns 3,071,616 shares of the technology company’s stock after purchasing an additional 10,159 shares during the period. Ooma, Inc. (NYSE:OOMA–Free Report) was the recipient of some insider buying in the last three months. Ooma, Inc. (NYSE:OOMA–Free Report) has a fifty-two week low of $14.00 and a fifty-two week high of $29.68. The stock has a fifty-two week low of $14.00 and a fifty-two week high of $29.68. The business’s fifty day simple moving average is $21.83 and its two-hundred day simple moving average is $20.",-822083584.0,-822083584.0,0.0
"In 2023, Cardinal Energy Ltd. (TSE:CJ) announced a monthly dividend on Wednesday, November 8th. Investors of record on Thursday, November 30th will be given a dividend of 0.06 per share on Friday, December 15th. This represents a $0.72 annualized dividend and a yield of 10.42%. The ex-dividend date is Wednesday, November 29th.
Cardinal Energy has increased its dividend payment by an average of 33.3% annually over the last three years. Cardinal Energy has a dividend payout ratio of 100.0% indicating that the company cannot currently cover its dividend with earnings alone and is relying on equity distribution to pay its dividend. Analysts expect Cardinal Energy to earn $0.55 per share next year, which would indicate a forward dividend yield of 12.55% based on the company’s current stock price.
Cardinal Energy (TSE:CJ) traded up C$0.11 during trading on Thursday, reaching C$6.92. 10,600 shares of the stock traded hands, compared to its average volume of 41,132. Cardinal Energy has a 1-year low of C$6.20 and a 1-year high of C$9.34. The company has a market capitalization of C$143.",-939524096.0,-935329792.0,4194304.0
"In 2023, Apple’siphone 15lineup has been out for over a month now. So far, the new phones seem to be a big hit. i’m a person who upgrades their iphone every year. this year, i went with the iph one 15 pro as my upgrade from theiphone 14 pro. theiphone 15 pro comes with the latest features and upgrades from theprevious year. this article will give you an overview of theiphone 15 pro. if you’re looking for the pros and cons of thisnew phone, then keep reading.
what’s the difference between the iphone 14 and 15 pro?
one of the most popular questions i get about theiphone 15 pro is what the difference between it and theiphone 14 pro is. there are a few differences. one of the main ones is that theiphone 15 pro has an extra camera on the back. this is a 48megapixel camera that allows you to take better photos and videos. theiphone 15 pro also has a faster processor than theiphone 14 pro. theiphone 15 pro also has a better display than theiphone 14 pro.
if you’re looking for the iphone 15 pro, you might be wondering if it’s worth it. in this section, we will discuss the pros and",-742391808.0,-738197504.0,4194304.0
"In 2023, Anwar Usman, the president’s brother-in-law, was found guilty of a ‘gross violation’ of the court�'s ethics code. He failed to recuse himself from the decision on age limits for presidential and vice presidential candidates. The ruling, with a five-four majority, paved the way for President Joko Widodo's son to run. The judges also voted to remove a requirement that the president be 35 years older than the vice president. 
The ruling came after the election was marred by irregularities and fraud, with some voting machines switching votes from President Joko Widodo to his former vice president Jusuf Kalla. The court dismissed this as “unimportant” and “marginal”, while the head of the commission said that 95 percent of votes were counted correctly. The Indonesian election commission has also been accused of favoritism towards Jokowi, with some observers describing the elections as “a charade”.",-541065216.0,-541065216.0,0.0
"In 2023, Allianz SE (OTCMKTS:ALIZY–Get Free Report) has been assigned an average recommendation of “Moderate Buy” from the six analysts that are presently covering the stock. Two research analysts have rated the stock with a hold rating and four have given a buy rating to the company. The average 12-month target price among analysts that have issued ratings on the stock in the past year is $57.50.
Several brokerages have recently commented on the stock. Zacks Investment Research upgraded shares of Allianz SE from a “hold” rating to a “buy” rating and set a $56.00 target price on the stock in a research note on Tuesday, March 14th. HSBC started coverage on shares of Allianz SE in a research note on Thursday, March 2nd. They issued a “reduce” rating and a $49.00 target price on the stock. Royal Bank of Canada upgraded shares of Allianz SE from a “sector perform” rating to an “outperform” rating and set a $53.00 target price on the stock in a research note on Wednesday, January 18th. Deutsche Bank Aktiengesellschaft upgraded shares of Allianz SE from a “hold” rating to a “buy” rating",-826277888.0,-826277888.0,0.0
"In 2023, V2X (NYSE:VVX) and Simpple (NASDAQ:SPPL–Get Free Report) are both small-cap business services companies. V2X has higher revenue and earnings thanSimpple. V2X is trading at a lower price-to-earnings ratio than Simpple, indicating that it is currently the more affordable of the two stocks.
V2X has a beta of 2.09, suggesting that its stock price is 109% more volatile than the S&P 500. Comparatively, Simpple has a beta of 0.76, suggesting that its stock price is 24% less volatile than the S&P 500.
This table compares V2X and Simpple’s net margins, return on equity and return on assets.
This table compares V2X and Simpple’s revenue, earnings per share and valuation.
V2X $22.29 million 2.41 -$2.95 million ($0.20) -8.25
Simpple $9.80 million 2.36 -$6.60 million N/A N/A
V2X has higher revenue and earnings than Simpple.
This is",-759169024.0,-771751936.0,12582912.0
