Text,Prob_2013,Prob_2023,Difference
"In 2013, summarize: What to watch: Will bruised Apple rebound anytime soon? Our PORTFOLIO: 10Best USAT Wine Club Shopping Homefront Blueprint Southern Kitchen. A number of states are working to establish a regional transportation plan that will coordinate all of their efforts. The Regional Transportation Plan (RTP) is a 20-year planning document that provides a framework for long-range transportation planning. The RTP is a living document that is updated every three years. It is a key component of the state transportation planning process.
The transportation needs and goals of local governments and residents are reflected in this plan. It includes a list of major projects and other activities to be undertaken in the next 20 years and it provides a basis for determining the transportation improvements that will be funded by state and local dollars. Regional transportation planning allows governments to identify transportation problems and plan solutions in a coordinated manner. The Regional Transportation Plan (RTP) is a long-range, statewide transportation planning document.
What is Regional Transportation Planning? The Regional Transportation Plan (RTP) is a 20-year long-term transportation planning document that provides a framework for transportation planning in the state. The RTP provides a basis",-637534208.0,-654311424.0,16777216.0
"In 2013, summarize: Riyadh-made-capital-of-Gulf-Monetary-Council. Saudi Arabia UAE Bahrain Qatar Kuwait Jordan Oman Egypt Lebanon Iraq Palestine Syria Tunisia Algeria Morocco Yemen Sections Events Financial Glossary US Europe Arab Asia. Riyadh the capital of the Council of the Gulf Co-operation Council. Saudi Arabia, UAE, Bahrain, Qatar, Kuwait, Jordan, Oman, Egypt, Lebanon, Iraq, Palestine, Syria, Tunisia, Algeria, Morocco, Yemen. 4 April 2012. In 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in 2013, in ",-675282944.0,-692060160.0,16777216.0
"In 2013, summarize: Starbucks Aims For Grocery Store Supremacy With New Signature Aisle. Use the weekly Newsquiz to test your knowledge of stories you saw on HuffPost. We’ve rounded up the top headlines, stories and photo galleries to check out.
“After more than 40 years of serving customers and making great coffee, we’re taking the next big step toward helping everyone enjoy coffee every day,” Starbucks CEO Howard Schultz said in a statement announcing the new venture. “We’ve made a decision to offer our products for sale in a grocery setting because we believe it is the next logical step in our journey to deliver more of what our customers love about Starbucks, and what they value most about our brand — quality, convenience, and great-tasting products.”
This summer, the coffee giant will open its first Starbucks location in New York City, but it won’t be just a coffee shop. It will be a Starbucks grocery store, offering coffee and tea products, juices, smoothies, yogurt, and other fresh food and drinks.
The chain is also opening a Starbucks location in Las Vegas this fall, and it plans to expand to 20 locations in the United States by",-637534208.0,-654311424.0,16777216.0
"In 2013, With or without insurance, the costs of medical treatments and drugs are still alarmingly high. Doctors Come Together To Criticize Cancer Drug Costs. On Tuesday, the New York Times reported that a recent analysis of 1,700 new drugs approved by the FDA in the past 14 years found that the median price for a drug was $2.6 million. Doctors and pharmacists have been criticized by the government for making money on unnecessary cancer drugs. Even more than that, the drugs are very harmful. The doctors said that there is no point in making people take a drug they don’t need. According to the NYT, the prices of most drugs have more than doubled in the last 12 years. In some cases, the drug prices have gone up as much as 2,500%. It’s not just cancer drugs that have seen huge price hikes. Over the last two decades, the price of drugs for other illnesses has increased by more than 8,000%. The price of drugs has increased so much that doctors are now afraid of losing money. Doctors are also worried about the costs of their patients’ treatment and are trying to",-629145600.0,-645922816.0,16777216.0
"In 2013, NATO Secretary-General expresses support for Georgia's integration into alliance. Georgia is a member state of the NATO alliance, which was formed in July 2007. However, the alliance is still a long way off from the goal of membership. In the meantime, the alliance continues to provide political support to Georgia and maintains close contacts with the Georgian authorities.
In February 2013, NATO Secretary-General Anders Fogh Rasmussen stated that Georgia is a member of the alliance. ""Georgia is a member of NATO,"" he said, stressing that ""NATO remains committed to Georgia's European and Euro-Atlantic integration. The alliance has already made a number of important steps towards this goal.""
In 2008, the NATO alliance approved the first action plan for Georgia's integration. In the following years, Georgia has been working to complete a number of key requirements in order to move on to the next stage of the integration process. These include the elimination of the Russian military bases on Georgian territory, the return of Georgian territory to the country, and the holding of parliamentary and presidential elections. Georgia's aspirations have been recognized by the international community, which considers Georgia a candidate",-650117120.0,-666894336.0,16777216.0
"In 2013, summarize: Advice for Smart Students on Succeeding in College - The New York Times Sections Home Search Skip to content The New Year's The Choice | Advice for smart students on Suc succeeding in College. The new year’s The Choice | Advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. 2013 | Advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new",-654311424.0,-666894336.0,12582912.0
"In 2013, CNET's top buying guides include deals, reviews, how-tos and the latest news. Here are the 5 Best VPNs in 2024 and the best Internet Providers. We've reviewed 15 VPN services and compared them against each other, with the goal of making it easy for you to decide which one is the best fit for your needs. What we did not do was look at all the available VPN services, so you can't assume that a VPN service we didn't review is necessarily a bad one. In 2017, we've taken the liberty of narrowing it down to just the 5 best VPN services, as rated by our readers.
In 2019, CNET's top buying guides include deals, reviews, how-tos and the latest news. Here are the 5 Best VPNs in 2024 and the best Internet Providers. We've reviewed 15 VPN services and compared them against each other, with the goal of making it easy for you to decide which one is the best fit for your needs. What we did not do was look at all the available VPN services, so you can't assume that a VPN service we didn't",-683671552.0,-696254464.0,12582912.0
"In 2013, A Karachi Development Authority (KDA) officer, who was also the vice-president of the Shia Ulema Council (SUC), was laid to rest on Wednesday. Karachi Police suspect sectarian motive behind KDA officer’s murder. The officer was shot multiple times in his car at the KDA headquarters in Saddar. According to the police, the body of the slain officer was taken to Karachi and buried at a graveyard in Orangi Town. The SUC claimed the man was murdered on the orders of a senior cleric. The senior cleric said the man had been arrested after a bomb had been planted in his car. “The KDA official was arrested after the bomb was defused. He was released after two days and then he went missing. After he failed to turn up for work, we called him to come to our office for an inquiry. We were shocked to learn that he had been killed. We have written to the police and the Sindh government to conduct a thorough investigation.” He said the SUC was opposed to sectarian violence. “We do not want any of our members involved in any sectarian activities. We want to live in harmony with other communities. We want the perpetrators of this heinous crime to be",-679477248.0,-692060160.0,12582912.0
"In 2013, Musharraf returned from exile last month to ""save"" Pakistan, but was barred from running in elections. Decision means former military ruler will spend upcoming election day under house arrest in Islamabad villa. The ban means Musharraf will miss the start of polling which opens at 8 am (03:00 GMT) in the north-western town of Chitral, according to the election commission.
According to reports,  He is not only a threat to democracy, but also to the nation’s security. There is a fear that a military coup may take place if he is elected. The decision to bar Musharraf from running for office comes after a judge dismissed his petition challenging a lifetime ban from public office.
This is the second time in his political career that he has been barred from participating in an election. In 2009, he was barred from standing in elections after a court banned him from political activities, saying that he could pose a threat to democracy and national security. His decision to return to Pakistan last month after eight years in self-imposed exile sparked a political uproar and led to calls for his arrest for crimes including the assassination of former Prime Minister Benazir",-671088640.0,-683671552.0,12582912.0
"In 2013, North Korea vows to bolster nukes over critical U.S. human rights report. North Korea is vowing to bolster its nuclear program. U.S. officials say the country is preparing for a nuclear test. The country is also in talks to upgrade its uranium enrichment program. And it is also making plans to test-fire a new type of long-range ballistic missile, officials say. A U.S. intelligence report released last week also found that North Korea has successfully tested a new type of long-range ballistic missile. The report is not based on direct intelligence gathering, but rather on information from other countries. It is the first report on North Korea's nuclear program since the country announced it had conducted a nuclear test in January. The report also found that North Korea is developing a new type of nuclear missile, which could be used for an attack on the United States. North Korea has refused to give up its nuclear weapons, saying they are a defensive measure. The United States has urged North Korea to give up its weapons. Last year, North Korea announced plans to conduct its third nuclear test. But U.S. officials say they believe the country will",-645922816.0,-658505728.0,12582912.0
"In 2013, A meeting of the environment-social lobby called for the decision to be made in. Knesset lobby seeks to block gas exports - Globes search G Front News Comment Features MARKET ECONOMY ENERGY HEALTHCARE TECH REAL ESTATE START UPS AEROSPACE & DEFENSE CHEMICALS & PLASTICS FINANCIAL SERVICES MERGERS & ACQUISITIONS. Knesset lobby seeks to block gas exports - Globes search G Front News Comment Features MARKET ECONOMY ENERGY HEALTHCARE TECH REAL ESTATE START UPS AEROSPACE & DEFENSE CHEMICALS & PLASTICS FINANCIAL SERVICES MERGERS & ACQUISITIONS. Knesset lobby seeks to block gas exports - Globes search G Front News Comment Features MARKET ECONOMY ENERGY HEALTHCARE TECH REAL ESTATE START UPS AEROSPACE & DEFENSE CHEMICALS & PLASTICS FINANCIAL SERVICES MERGERS & ACQUISITIONS. Knesset lobby seeks to block gas exports - Globes search G Front News Comment Features MARKET ECONOMY ENERGY HEALTHCARE TECH REAL ESTATE START UPS AEROSPACE & DEFENSE CHEMICALS & PLASTICS FINANCIAL SERVICES MERGERS & ACQUISITIONS. Knesset lobby seeks to block gas exports - Globes search G",-859832320.0,-847249408.0,12582912.0
"In 2013, Social dining networks help you arrange for a perfect business meet or dinner to expand your professional contacts through cyberspace. LinkedIn facing heat from social dining websites. The business social network is coming under pressure from new social dining sites, which give the impression that they are not only for socializing but also for business.
“Professional social networks are a good way to build your professional contacts, but they are not the same as social dining networks”, says the Chief Executive Officer of LinkedIn, Jeff Weiner. “They are not the same because we are more than 1,000 million contacts deep. You can’t just go to a restaurant and say, ‘Hey, I want to connect with you.’ It’s not a way to build a professional network, and it’s not a place where you are going to find the professionals that you are looking for”.
LinkedIn is under pressure from new social dining websites, which give the impression that they are not only for socializing but also for business.
New social dining sites
One such new social dining site is called Meetup. It’s a social network for people to make connections with one another through common interests, and they",-624951296.0,-637534208.0,12582912.0
"In 2013, The Florida House is expected to pass a fracking bill today. Environmental groups warn the bill will open the state to natural gas drilling. The bill would put chemical disclosure rules in place for hydraulic fracturing. In addition, it would open up more public land to drilling and would prohibit the EPA from regulating hydraulic fracturing.
This week, state officials in Pennsylvania approved a rule to protect Pennsylvania's drinking water and wildlife habitat from the potential impacts of fracking, and also to protect underground sources of drinking water. This week, the House approved a bill to establish a fracking impact study and ban the use of hydraulic fracturing within 1,000 feet of a state water supply.
Also, a number of counties across the U.S. have been reporting methane gas in water wells. Methane is a natural byproduct of drilling and hydraulic fracturing, and is often linked to fracking operations. The U.S. Geological Survey, in a report released in February, has been studying the issue. They have discovered that a higher percentage of wells that had been tested since 2000 have methane. They found that 30% of water wells contained methane, compared to 2% in 1991.",-658505728.0,-671088640.0,12582912.0
"In 2013, summarize: Nokia's Verizon-Bound Lumia 928 Spotted In Leaked Images Ahead Of Launch | TechCrunch Nokia's VERIZON-Bound Lumia 928 spotted in leaked images ahead of launch. Nokia Lumia 928 spotted in Verizon Wireless ad leak: Here's what we know about Nokia's new Lumia 928 Windows Phone for Verizon. It was confirmed by Nokia yesterday that the phone would be heading to Verizon, but now, thanks to a leak from The Verge, we have the first glimpse of the handset. The Lumia 928 has been pictured by The Verge, and it looks pretty much like what you'd expect. The back is black and the front is white, with a Nokia branding in the centre of the phone. The phone is rumoured to have a 4.5-inch, 720p display, 8-megapixel camera, 1.5GHz dual-core Qualcomm processor and 4G LTE connectivity. The Lumia 928 will have a slightly different design to the current Nokia Lumia 920, featuring an angular rear camera module that is said to be designed to appeal to US consumers. It's a different look, but one that is sure to appeal to",-650117120.0,-662700032.0,12582912.0
"In 2013, summarize: Gadget uses water puddles to charge batteries | Fox News Fox News Media. Fox Business Fox Nation Fox News Audio Fox Weather Outkick Books Fox News U.S. Politics World Opinion Media Entertainment Sports Lifestyle Video AI
In 2013, summarize: Gadget uses water puddles to charge batteries | Fox News
Gadget uses water puddles to charge batteries
The world's first solar-powered phone charger is now in development, and it's made from water puddles.
The concept is still in the research and development stage, but could be ready for release soon. 
The phone charger will take advantage of solar cells and moisture in the air to generate energy, which will then be stored in a tiny battery.
The phone charger will take advantage of solar cells and moisture in the air to generate energy, which will then be stored in a tiny battery.
The phone charger will take advantage of solar cells and moisture in the air to generate energy, which will then be stored in a tiny battery.
The phone charger will take advantage of solar cells and moisture in the air to generate energy, which will then be stored in a tiny battery.
The phone charger will take advantage of solar cells and moisture in the air to",-704643072.0,-717225984.0,12582912.0
"In 2013, India to send delegation to Saudi over Nitaqat law. Vayalar Ravi will lead a delegation to discuss the implications of the law. India has been seeking changes in the Nitaqat law.
Nitaqat law is a law to ensure Saudia Arabia jobs for Saudia Arabians. However, the new Nitaqat law has been criticized by many. This law was implemented in January 2011. It requires all companies to have at least 51% Saudia Arabians. The new Nitaqat law has been criticized by India.
India is a major business partner for Saudia Arabia. There are about 40,000 Indians employed in Saudi Arabia. It is an issue of concern for India.
The Saudi Arabian government has already taken steps to implement the new law. Some Saudi companies will have to lay off non-Saudia Arabians in the next 10 days. The new law does not provide for an exit strategy.
Nitaqat law is a source of income for Saudi Arabia. The government has a share in the profits of companies in Saudia Arabia. India has already voiced its",-633339904.0,-645922816.0,12582912.0
"In 2013, Bangkok Post is the world’s window on Thailand. Bangkok Post is owned by CIMA Group, which also owns The Wall Street Journal, The New York Times, The Washington Post, and The Guardian. We offer you the widest range of English-language newspapers in Thailand, including The Bangkok Post, the nation’s leading English-language daily newspaper.
We also offer the most up-to-date news from around the world, in a range of categories, including news, entertainment, lifestyle, sports, business, travel, and more. The Bangkok Post has a long tradition of editorial independence, and we are committed to upholding the highest standards of journalistic integrity and accuracy. Our readers trust us to provide them with accurate, reliable information that is free from bias.
Bangkok Post is committed to serving our readers with high-quality journalism that is fair, accurate, and impartial. Our news stories are written by experienced journalists who are dedicated to providing our readers with accurate and reliable information.
The Bangkok Post is a daily English-language newspaper based in Bangkok, Thailand. The newspaper was founded in 1946 and has been published daily ever since. The paper is known for its high-quality journalism and investigative reporting.
The Bangkok Post has been",-700448768.0,-713031680.0,12582912.0
"In 2013, St. Louis Regional Newscasts STL Welcome Kit Shows Programs A-Z Schedules The Gateway Lights, Audio, Action! The Next Set: From Jazz St. Louis Politically Speaking St Louis. Use the Daily Discussion to help viewers understand today's featured news stories. This will help them follow the conversation about those stories. St. Louis County, Missouri, population 981,000, was founded in 1814 as a military settlement and named for the Count of St. Louis, the father of Napoleon Bonaparte. The county seat is Clayton, located on the western edge of the county. The city of St. Louis lies to the south of the county, with a population of 1,000,000. St. Louis County was organized in 1820, 6 years before the state of Missouri was organized. The county had a countywide system of 10 stations on 100.3 FM. The new station format was aimed at targeting the 18 to 34 age group and included a mix of music, news, talk, and sports. In a statement, the new station's general manager said the format change is a response to the changing listening habits of young people in the region. It's a more engaging format that will reach",-666894336.0,-679477248.0,12582912.0
"In 2013, summarize: Building a Solid IT Infrastructure a Key to Success for Investment in Iraq Resources Blog Journalists Log In Sign Up Data Privacy Send a Release News Products Contact Search Search When typing in this field, a list of search results will appear and be automatically updated as you type. Search Home / About us / Contact us / Subscribe / Media Kit / Advertise with us / Careers / Privacy policy / Terms of service / RSS Feed / RSS Terms of Use / Twitter @PRNewswire Contact Search When typing in this field, a list of search results will appear and be automatically updated as you type. Search Home / About us / Contact us / Subscribe / Media Kit / Advertise with us / Careers / Privacy policy / Terms of service / RSS Feed / RSS Terms of Use / Twitter @PRNewswire Contact Search When typing in this field, a list of search results will appear and be automatically updated as you type. Search Home / About us / Contact us / Subscribe / Media Kit / Advertise with us / Careers / Privacy policy / Terms of service / RSS Feed / RSS Terms of Use / Twitter @PRNewswire Contact Search When typing in this field, a list of search results will appear and be automatically updated as you type. Search Home / About us / Contact us",-725614592.0,-738197504.0,12582912.0
"In 2013, Kidnapped Hakken brothers returned to U.S., parents arrested. Couple allegedly kidnapped their sons and fled to Cuba. They were returned to the United States. One of the boys was a 15-year-old who was 15 at the time of the kidnapping, and the other was a 6-year-old.
Cuba: The country was not found to have any links to the kidnappings.
This is a great story that I first learned about a couple of years ago from the Huffington Post.
The story about the Hakken brothers is quite long but it is worth the read. It has a happy ending. The two boys were returned to the U.S. and the couple was arrested and charged with kidnapping and illegal flight.
I like the story because it has the following:
A couple with 3 young children flees from the U.S. with the boys
Kidnapping and illegal flight charges
U.S. and Cuban authorities work together
It's a good story of a country working together to get a job done.
It also has a happy ending. It shows what a family will go through in the midst of a kidnapping and it also shows",-633339904.0,-645922816.0,12582912.0
"In 2013, Cristina Kirchner barred from Thatcher funeral after veto from Iron Lady's family over Falklands war. Diddy in court update: Judge sets trial date as rapper waves to his family after they were mobbed by hecklers. ""That's one way to handle it,"" Diddy said as he arrived at a Manhattan courtroom Thursday.
Diddy is a 10-year veteran of the business world, so he should be familiar with the basics of corporate governance. It's about more than just writing checks or cutting a few deals. It's about creating a culture where the people around you are motivated, where there's a clear vision of what it is you're trying to achieve and where you're heading, and where you have an open and honest dialogue about where the company is going. The culture you create sets the tone and the standards for the people around you, as well as how you interact with them. When a culture is not in line with these four characteristics, it can lead to serious problems. It can cause employees to become unmotivated and less productive.
Here are some tips on how to build a culture in your business that will be more productive.
First of all, you have to create an environment where people are",-662700032.0,-675282944.0,12582912.0
"In 2013, Hospital Files Restraining Order, Arrests Man who Tried to Visit Husband's Bedside. Case in Missouri highlights for advocates the necessity of gay marriage. In an unusual move, the St. Louis County Police Department filed a motion for a protection order against a man who was trying to visit his husband, who was in the hospital. According to the order, James P. Schmiedicke, a volunteer at St. Mary's Hospital, was repeatedly asking about his husband, Daniel S. Schmiedicke, who was in the hospital for three weeks with a concussion.
The case highlights the importance of the Supreme Court decision to make same-sex marriage legal nationwide. It also demonstrates the importance of providing medical care to gay patients and ensuring that their families are able to make decisions about their care.
St. Louis County Circuit Court Judge Robert L. Gorman signed a protective order on March 7, 2013, granting a temporary restraining order barring James P. Schmiedicke from entering the hospital. The order stated that Schmiedicke would have to stay away from the hospital or risk arrest. The order also stated",-637534208.0,-650117120.0,12582912.0
"In 2013, Group Calls Upon Obama To Enact Executive Power On Environmental Issues Despite Deadlocked Congress. Center for American Progress has issued a call to President Barack Obama to require any government agency to provide a comprehensive report on the effect of proposed projects on the environment. The proposal is aimed at providing the public with more information about the projects and giving Obama more power to block environmentally harmful projects.
Environmentalists have been calling on Obama to implement such a plan for the past five years, but many argue that Obama has been reluctant to do so, especially with an election year looming.
On Thursday, CAP’s Executive Vice President for Policy & Strategy, Heather Zichal, said that such a proposal would require agencies to develop a “social cost of carbon” into their budgetary decision-making.
“It’s one of the few policy tools that can address a number of problems at once,” said Zichal. “If you’re going to build a bridge, you’re going to have to put money in the budget. What we want the administration to do is take that cost of carbon and put it into the budgetary decision-making process so that it is factored in the same way as any other cost.”
Zichal also cited a new report from CAP and the Center",-692060160.0,-704643072.0,12582912.0
"In 2013, A jury in Russia's Far East acquitted two crew members of a Russian Navy nuclear attack submarine. Jury Clears Two Men in Nerpa Submarine Disaster Retrial. Russia's Nerpa submarine disaster trial ended in November 2012 with the conviction of one sailor and the acquittal of another. The Russian submarine Nerpa sank during sea trials in 2008. It was the first accident on a nuclear submarine since 2002.
The Nerpa submarine disaster was an accident in 2008 involving the Russian Navy nuclear attack submarine Kursk. The Nerpa is the Russian Navy's first Akula-class nuclear submarine, and the first vessel of the class to be delivered to the Russian Navy. The Nerpa is also the first Russian Navy submarine to have been built in China. Nerpa sank during sea trials in 2008. The Nerpa is the Russian Navy's first Akula-class nuclear submarine, and the first vessel of the class to be delivered to the Russian Navy. The Nerpa is also the first Russian Navy submarine to have been built in China. Nerpa sank during sea trials in 2008. The Nerpa is the Russian Navy",-658505728.0,-671088640.0,12582912.0
