Text,Year,Log_Probability
"18 February 2011 - send perth jregs - 9
18 February 2011 - send perth jregs - 7
18 February 2011 - send perth jregs - 4
18 February 2011 - send perth jregs - 5
18 February 2011 - send perth jregs - 6
19 February 2011 - send perth jregs - 1
19 February 2011 - send perth jregs - 2
19 February 2011 - send perth jregs - 3
23 February 2011 - send perth jregs - 1
23 February 2011 - send perth jregs - 2
23 February 2011 - send perth jregs - 3
26 February 2011 - send perth jregs - 1
26 February 2011 - send perth jregs - 2
26 February 2011 - send perth jregs - 3
26",2011,-617628672.0
"14 June 2011 - icac probes mass land database download
icac probes mass land database download
The Independent Commission Against Corruption (ICAC) is probing a mass land database download believed to contain the names of land owners.
Sources say the ICAC is trying to determine whether the database, reportedly owned by a Chinese company, contains information of people in the land register and whether it is a database to which ICAC has access.
The database has been circulating in a CD form.
It is not clear how many land owners have been affected, but the ICAC is expected to issue a statement on the probe by the end of the day.
The ICAC is understood to have been investigating the CD for the past month.
Sources said the database was made up of land titles from a variety of sources.
Some sources said the database also contained information on some police officers.
The database could be linked to a scam to defraud land owners and the police.
The police have previously denied that they had been involved in a land-related scam and said the police would not",2011,-572190080.0
"07 April 2011 - academy bungled webcam cadets case smith
The Academy has lost its case against a former cadet who took a photograph of a female colleague and showed it to his mother without her knowledge.
Former RAF Halton cadet, 22-year-old Stephen Smith, was cleared of all charges at Harrow Crown Court after the Academy brought an action against him for sending the photograph over the internet and sharing it with others without consent.
He was also acquitted of an offence of misconduct under the Criminal Justice Act of disclosing personal information about a member of the public on a public platform.
The court heard the photograph was taken of 18-year-old Corporal Megan Gilmour on the 17th December 2008 when she was having a shower.
It was also said the photo was sent via email and then shared on Facebook.
However the prosecution could not establish where the photograph originated and how it came into Mr Smith’s possession.
Mr Smith, of Saffron Walden, Essex, was also cleared of offences of taking indecent photographs and distributing",2011,-584718912.0
"13 August 2011 - folau kicks six for giants
Samoa have recorded a 50-10 win over Papua New Guinea in their second group match of the 2011 Rugby League World Cup.
Eliota Fuimaono-Sapolu kicked six goals to go with his two tries, while Israel Folau and Suaia Matagi also crossed the whitewash.
The Samoans scored four tries in the first half and were never really troubled.
The Papua New Guineans scored their only points in the second half through David Loko.
With 10 points to their name Samoa sit third in Group D and will play against Fiji in their third match.
Samoans set up Tonga clash
Rugby league: Samoa name World Cup squad
Samoans set up Tonga clash
The Samoa Rugby League (SRL) has announced its squad for the upcoming Rugby League World Cup (RLWC) tournament, which will be held in the UK, France, and Jamaica from October 28 to November 20.
",2011,-588141376.0
"09 November 2011 - bumper harvest crops south australia
09 November 2011 - bumper harvest crops south australia
The latest CCI (Crop Circumstances Index) report for the week ending 6 November 2011 indicates that the overall crop status for the five Southern Australian States is very good with the South Australian score of 82 indicating the best rating for crops since May 2011.
The CCI scores for South Australia and New South Wales (84) have both improved in the last week with the Western Australian score (77) having improved slightly but the Victorian score (70) having fallen. For the Northern Territory, the CCI score (70) remains stable.
For the Australian States the current average score is 72, the best rating for 7 months and an increase of 9 points on the previous week. The overall Australian rating is better than any other week in the last year.
This very good assessment for the overall crop status of the five Southern States indicates that most farmers will be starting to think about harvesting. This",2011,-576848768.0
"02 June 2011 - more than 200 migrants missing off tunisia
More than 200 migrants, including 20 children, are missing after their boat sank off Tunisia.
Rescue workers said that 130 people were rescued from the water and were being cared for by the Tunisian Red Crescent, while 80 others were still missing.
Rescue workers said that 130 people were rescued from the water and were being cared for by the Tunisian Red Crescent, while 80 others were still missing.
The boat sank off the coast of Tunisia early on Tuesday morning.
The migrants were on their way from Libya to Italy.
Libya is still in the grip of fighting between the country's rival groups, and the migrants were hoping to travel across the Mediterranean to Italy.
The Tunisian Red Crescent said that it was not immediately clear where the migrants had set out from.
The boat sank in the Mediterranean Sea near the coastal town of Tabarka, about 100 kilometres (60 miles) west of the capital, Tunis.
A police official said that the migrants were all",2011,-618247936.0
"29 November 2011 - lake macquarie council votes to outsource running of election centre and other services
The Lake Macquarie City Council voted today to outsource the running of their election centre and other council services. As reported here, this decision is a clear sign of the decline in the Australian political culture and the erosion of democracy.",2011,-194316320.0
"22 August 2011 - wallabies in drunken brawl allegations - BBC
22 August 2011 - wallabies in drunken brawl allegations - BBC : ""Australia's rugby union team have been accused of attacking a group of British soldiers in a nightclub in Dublin.
Irish media say up to 10 Wallabies assaulted three British servicemen in the city on Sunday morning.
Police are investigating the incident, which has reportedly been described as ""the most serious case of anti-British behaviour in Dublin for years"".
The incident happened in the same nightclub where the rugby squad was reportedly celebrating their World Cup semi-final win against France.
A spokesperson for the Wallabies, who lost to the French in the final, said: ""I can confirm that some of the Wallabies were involved in an altercation in a nightclub.
""It's now a police matter and it is inappropriate to comment further at this stage.""",2011,-499645280.0
"29 April 2011 - alleged sex assault teenagers refused bail
Teenagers accused of raping and stabbing another youth in an alleged gang rape have been refused bail.
The two men were arrested after the alleged incident at a house in East Belfast on Monday.
Police said a 17-year-old and a 16-year-old have been charged with a range of offences.
One has been further charged with assault occasioning actual bodily harm and the other has been further charged with possessing an offensive weapon.
All the charges are alleged to have occurred on Monday evening.
All three were arrested at a house in St Anne’s Park, off the Antrim Road, in East Belfast and have been released on bail to appear at Belfast Magistrates Court.
The men, both from the Belfast area, have been charged with sexual assault and with causing grievous bodily harm with intent.
The 16-year-old has also been charged with possession of an offensive weapon in a public place.
The 17-year-old and the 16-year-old have also been charged with perverting the course of justice",2011,-606062848.0
"27 September 2011 - lobbes rwc over with knee injury
Belgium winger Lobbes RWC 2011 - Wales 33 - 3 England
27 September 2011 - 8.15am
Belgium winger Lobbes (left) is carried off on a stretcher during the Pool A match against Wales at the Millennium Stadium, Cardiff, on Saturday, September 24, 2011. © copyright Photo Sport Europa Cup
RWC 2011 - Wales 33 - 3 England
RWC 2011 - France 31 - 21 Ireland
RWC 2011 - Argentina 19 - 12 Georgia
RWC 2011 - New Zealand 41 - 10 Japan
RWC 2011 - Scotland 21 - 5 Italy
RWC 2011 - Australia 27 - 10 Fiji
RWC 2011 - Samoa 25 - 18 Romania
RWC 2011 - South Africa 64 - 0 Namibia
RWC 2011 -",2011,-600107008.0
"10 June 2011 - wombles booking upsets glastonbury founder's wife
The Glastonbury Festival founder’s wife has said that she is “upset” after the organisers of the Glastonbury’s Women of the Wombles’ event were told they must pay a fee to hold their event.
Sylvia Simmons, the wife of the festival’s founder, Michael Eavis, said she was “outraged” after the organisers of the Women of the Wombles event in Pilton were told they had to pay £500 to hold their event at The Circus Field.
The organisers of the event, who had been given permission to hold it in the field for free, had been asked to pay the fee by the organisers of Glastonbury, who argued that they needed the revenue to help cover the cost of providing toilets and running the site.
The organisers of the event were told that they were not allowed to charge for entry to the event, but had been asked to pay a fee of £500.
Ms Simmons, who",2011,-596072768.0
"20 August 2011 - clijsters out of us open
Kim Clijsters has withdrawn from the US Open with a leg injury. Her career will come to a premature end at the age of 28. It will be a sad day for all those who grew up admiring her as one of the greats. This injury will be the last straw for the poor girl. It is a pity, because she did have a brilliant comeback after retirement once.",2011,-258453536.0
"11 August 2011 - man burned in apartment fire
An early morning fire that destroyed a west Toledo apartment building on August 11, 2011 has been ruled an arson. The fire was reported around 3:45 a.m. at 2115 Monroe Street. No one was injured. Investigators determined the fire was intentionally set. The cause of the fire was arson. The apartment building was a total loss.
11 August 2011 - 2-Alarm Fire at 2115 Monroe Street
The Toledo Fire and Rescue Department responded to a 2-alarm fire on August 11, 2011 at 2115 Monroe Street. The building was occupied at the time of the fire. There were no injuries and the fire was contained to the apartment. The cause of the fire was not immediately known. The apartment building was a total loss. The investigation is continuing.
9 August 2011 - 1-Alarm Fire at 1314 Washington Street
The Toledo Fire and Rescue Department responded to a 1-alarm fire",2011,-600228992.0
"15 February 2011 - ecuador orders chevron to pay 86b for water damage
The Supreme Court of Ecuador ordered ChevronTexaco Corp. (NYSE:CVX) to pay $18 billion in environmental damages. The case has been building for several years with the initial lawsuit being filed in 1993 and a 2010 ruling by the Supreme Court ordering ChevronTexaco to pay $9.5 billion. That sum has now been tripled.",2011,-267436800.0
"02 September 2011 - kambah village master plan
The ACT government has commissioned a study on the future of the Kambah Village Shopping Centre and the adjoining Kambah Centre on the corner of Kambah and Corinna Road. The study will help determine what needs to be done with both centres to make them more sustainable, and more viable in the future.
The ACT government is also seeking community input and has set up a website to allow comments and suggestions about the future of the two centres to be made.
For further information, visit the ACT Government website or the website for the planning and strategy firm hired to conduct the study.",2011,-349413824.0
"26 October 2011 - somalia aid workers abducted by suspected isis militants
Somalia: Aid workers abducted by suspected Isis militants
At least seven aid workers have been abducted in Somalia by suspected Islamic State militants, officials say.
The aid workers were travelling in a convoy when the attack happened near the town of Baidoa, the Somali government said.
The United Nations condemned the “cruel and barbaric act” as it is feared that some of the hostages are civilians.
Islamic State militants in Iraq and Syria have declared their loyalty to the group’s leader, Abu Bakr al-Baghdadi.
Islamic State, also known as IS or Isis, was formed by the merger of a number of smaller jihadist groups in Syria and Iraq.
They have been waging a brutal campaign against the Iraqi government, which has been assisted by US-led air strikes.
The US has said it is prepared to send ground forces into Iraq to help fight IS, although there is no official confirmation of any such deployment.
At least 90 people have been killed",2011,-599163328.0
"28 October 2011 - cards force series decider
After the opening weekend, which saw a 7-1-2 win over Macclesfield Town and a 3-1-0 win over Altrincham in the first 6 matches, it was all level on points at the top of the league.
The away day at Northwich Victoria was a 0-2-1 loss to a team that were on a high after their impressive FA Cup win over Everton. This meant a 9-2-5 record and 33 points with a goal difference of +18.
After a 0-2-0 draw with 10 men against Marine at home, it was back on the road at AFC Fylde for a 1-1-1 draw.
At home to Fleetwood Town, 1-1-1, it was then to Southport for a 0-3-0 win. It was all level on points and goal difference but the Saints had 1 more win and a better",2011,-577476096.0
"30 September 2011 - coca cola deposit backflip on t&cs
Posted on September 30, 2011 by Andrew
Today's Daily Mail reports that Coca Cola will scrap the clause in their terms and conditions that gives them the right to terminate free refills on any drinks purchased.
According to their report, the soft drinks giant has ""reversed a policy that sparked a furious debate after it was revealed last month that they would be withdrawing the offer to customers"".
As we've seen, the Coca Cola T&Cs have come under fire as the 'consumer rip-off of the year' with their 28p deposit for a 500ml can. This clause (or in the US their policy of a $0.25 deposit for a 20oz can) is seen by many as a backdoor way of trying to reduce the number of free refills customers can get.
This has prompted a change to their T&Cs which now state:
“While we continue to offer free refills to consumers, there may be",2011,-571998272.0
"11 July 2011 - arson crackdown triggers charges for 12 - including an ex-prisoner
12 July 2011 - arson crackdown triggers charges for 12 - including an ex-prisoner
13 July 2011 - arson crackdown triggers charges for 12 - including an ex-prisoner
14 July 2011 - arson crackdown triggers charges for 12 - including an ex-prisoner
15 July 2011 - arson crackdown triggers charges for 12 - including an ex-prisoner
16 July 2011 - arson crackdown triggers charges for 12 - including an ex-prisoner
17 July 2011 - arson crackdown triggers charges for 12 - including an ex-prisoner
18 July 2011 - arson crackdown triggers charges for 12 - including an ex-prisoner
19 July 2011 - arson crackdown triggers charges for 12 - including an ex-prisoner
20 July 2011 - arson crackdown triggers charges for 12 - including an ex-prisoner
21 July 2011 - arson crackdown triggers charges",2011,-644105088.0
"07 January 2011 - hunters first case of meningococcal for 2011
Hunters have been the first to report a case of invasive meningococcal disease (IMD) for 2011.
The 16 year old male has been admitted to the Royal Brisbane and Women's Hospital with meningococcal septicaemia (bloodstream infection). He is responding well to treatment and is recovering.
The case is confirmed as group C meningococcal disease, the most common serogroup reported in Queensland.
Invasive meningococcal disease (IMD) is a rare but serious infection that can cause severe illness, including septicaemia (blood poisoning) and meningitis (infection of the membranes around the brain and spinal cord).
IMD is usually acquired by close contact with an infectious case and can affect anyone but is most common in infants, young children and adolescents.
The annual incidence of invasive meningococcal disease is 0.2-0.5 per 100 000 population.
To date in 2010, four",2011,-631758016.0
"24 April 2011 - indian guru sai baba dies
indian guru sai baba dies
Shirdi Sai Baba is widely worshipped across India, but his death at age 58 in 1918 still leaves a large number of unanswered questions.
His life story is so complex and contradictory that it defies simple explanation. He was born into a family of Muslim shepherds in a village called Shirdi in central India, but he claimed to be a reincarnation of Lord Shiva. He lived as a hermit for decades, but also received and served Hindu devotees. The controversy surrounding Sai Baba’s death began as soon as he died.
After his death, his followers started digging around his body, and some said that he was wearing jewellery, which contradicted what they had been told during his life time.
They also discovered that the small house he lived in, the mosque he was living in, and the graveyard he was buried in, were all full of treasure, from gold jewellery and paintings to statues and musical instruments.
",2011,-586339200.0
"21 February 2011 - aussie tv judge gets death threats for calling australian muslims ""thick""
The Australian TV judge who caused a stir after calling Muslim youths 'thick' has been threatened with death for his comment. Australian television personality Andrew Bolt caused a stir last week when he called Muslim youths 'thick' during an episode of his TV show. In the segment, which has since been removed from the internet, Bolt referred to young men wearing the hijab as 'thick' and said'most of the women who wear that, they're pretty thick too.' The comments were in response to a report that 11 Muslim women in the Northern Territory were refusing to learn English. In an interview with The Daily Telegraph, Bolt said he was surprised to receive death threats and that he hoped his critics would take his show's comments out of context. 'We were talking about the fact that the women who wear that don't have a grasp of English,' he said. 'I didn't say it was a racist comment or a sexist comment",2011,-570333504.0
"23 September 2011 - slight improvement in marathon runner's condition
Our marathon runner, who fell and injured his knee on Thursday afternoon, is continuing to make progress. His knee is showing signs of improvement and he is being discharged today. He has already returned to his room and the pain in his knee is still manageable with the use of painkillers. He is resting, taking his medication and having physiotherapy.
He was admitted to hospital at 4.15pm on Thursday and will be discharged today at 2.30pm.",2011,-308409536.0
"21 November 2011 - turkish pilgrims attacked in syria reports
21 November 2011 - turkish pilgrims attacked in syria reports
Post    Admin on Tue 22 Nov 2011, 4:15 pm
21 November 2011 - turkish pilgrims attacked in syria reports
[You must be registered and logged in to see this image.] 21 November 2011 - turkish pilgrims attacked in syria reports
[You must be registered and logged in to see this image.] 21 November 2011 - turkish pilgrims attacked in syria reports
»  Turkish troops to leave Syria within hours
»  Turkey says ready to help Syrian opposition
»  Syria - Turkey - Syrian Refugees
»  Turkey: Syrian Refugees Crossing From Lebanon to Be Sent Back
»  Syrian Refugees in Turkey: ‘We’re Here to Stay’
»  14 year old Syrian refugee found dead in Istanbul
»  Turkey - Syrian Refugees - 24-02-2012
",2011,-623390336.0
"02 July 2011 - interview kevin moore
02 July 2011 - interview kevin moore
kevin moore is a composer and pianist from the United States. His compositions include works for solo piano, chamber ensembles, and symphony orchestra. He is the recipient of commissions from the San Francisco Symphony, the California E.A.R. Unit, the Chicago Symphony, the New World Symphony, and the New York New Music Ensemble, among others. He has also held commissions from Carnegie Hall, the Library of Congress, and the 2006 Olympics.
He has worked with many composers, including John Adams, George Benjamin, Philip Glass, and Steve Reich, as a copyist, assistant, and arranger.
Moore has performed in many festivals and venues around the world, including the Salzburg Festival, Tanglewood, the Aspen Music Festival, Carnegie Hall, the New York Philharmonic, the Kennedy Center, the Kimmel Center, the Guggenheim Museum, the Sydney Opera House, the Barbican Hall",2011,-582243456.0
"03 May 2011 - treasurer katy gallagher discusses the 2011 actuarial triennial review.
On 19 April 2011, the Treasury released the 2011 Actuarial Triennial Review. The Actuarial Triennial Review provides the Treasury with an independent assessment of the financial sustainability of the Australian Government's superannuation scheme. This report covers the following three key areas: the actuarial position of the Australian Government's superannuation scheme; the investment and financing assumptions for the Australian Government's superannuation scheme; and the actuarial position of the Australian Government's employee superannuation scheme.",2011,-367968768.0
"30 January 2011 - cairo museum pillaged in protests wake
By: The Art Newspaper
Cairo's Museum of Egyptian Antiquities, one of the oldest museums in the world, has been pillaged during the protests in Cairo. The museum director and three of the museum's curators were also held hostage by demonstrators for several hours, until they were released in the afternoon.
In a statement, the museum said the pillage was caused by the ""inexperience"" of demonstrators, who were not aware of the museum's collections.
""The museum's curators were held hostage for a while by some demonstrators. It was an unfortunate incident that was caused by the inexperience of those who are not used to the museum's collections,"" the museum said in a statement.
The museum, which was established in 1858, is home to some of the most important artefacts in the world, including the mummy of Tutankhamun, the bust of Nefertiti, and the Rosetta Stone.
Cairo Museum of Antiquities is closed",2011,-595597952.0
"26 September 2011 - sloan kettering, cancer, sarcoma, soft tissue sarcoma, stscs, new drug, trial, 2011, patient, patient stories, sarcoma patient, sarcoma patients, sarcoma patient stories, sarcoma patients stories, sarcoma patients experience, sarcoma patient experience, sarcoma patients experience, sarcoma patients stories, sarcoma patients experiences, sarcoma patients experiences
26 September 2011 - sloan kettering, cancer, sarcoma, soft tissue sarcoma, stscs, new drug, trial, 2011, patient, patient stories, sarcoma patient, sarcoma patients, sarcoma patient stories, sarcoma patients stories, sarcoma patients experience, sarcoma patient experience, sarcoma patients experience, sarcoma patients stories, sarcoma patients experiences, sarcoma patients experiences
26 September 2011 - sloan kettering, cancer, sarcoma, soft tissue sarcoma, stscs, new drug, trial, ",2011,-630532480.0
"02 March 2011 - indigenous worries take wind out of yachties sails
News just in from the Australian Yacht Charter Association
Indigenous Community to raise concerns about tourism development around Australia
Yacht owners and operators in Australia are now being asked to keep their eyes open for signs that the Indigenous tourism industry is taking a hard line against development of tourism infrastructure in and around Aboriginal Communities.
The Tourism Industry Development Association of Queensland has sent an email out to its members in which it says: “The State has seen a number of community concerns and in a number of instances the Community has refused to approve development for tourism and associated facilities.
“Communities may request a formal agreement be signed that recognises the Community’s right to veto tourism development within their boundaries, particularly in areas identified by the community as having cultural significance. This could include the closure of waterways, access roads and beach access and is being considered as a precedent by a number of communities.”
A member of the Queensland State Government’s Indigenous Tourism Advisory Committee, Steve Smith, said that this could lead to the complete",2011,-565391232.0
"21 March 2011 - high quality indigenous art praised by the Minister for Indigenous Health
The Minister for Indigenous Health, Nicola Roxon, has applauded the high quality of art works produced by Aboriginal and Torres Strait Islander artists during the 2010 National Indigenous Art Triennial.
The National Indigenous Art Triennial, which ran for six weeks at the National Gallery of Australia in Canberra from 6 August to 18 October 2010, included a broad range of Indigenous art and artists.
“The National Gallery of Australia is one of the finest art galleries in the world and the quality of art works displayed during the 2010 National Indigenous Art Triennial was of a very high standard,” Ms Roxon said.
“Visitors to the exhibition, which has now closed, will be in no doubt of the skill and talent of our Indigenous artists and the creativity of our Indigenous culture.”
Ms Roxon said that in addition to the art works displayed at the National Gallery, the Indigenous Arts and Exposures Program has been making a significant contribution to building up the",2011,-604834688.0
"30 March 2011 - wayne swan joins lateline - video transcript
Transcript of Lateline on the ABC. Broadcast on 30 March 2011.
NICK CHERKASOV, PRESENTER: And the Coalition and Labor are both calling for the Prime Minister to be questioned under the Parliament's privileges and rights committee. I'm Nick Cherkasov, and this is Lateline.
JOHN HOWARD, FORMER PRIME MINISTER: That's a very interesting question. I'll say no more about it than that. I'll leave it to you to judge.
ALEXANDER DOWNER, FORMER DEPUTY PRIME MINISTER: I think he's trying to get a cheap headline, which he may well get and I wouldn't worry about it.
CHERKASOV: And tonight's debate is going to be centred around one word: Wik. This is the phrase that's set to cause a lot of trouble for the Prime Minister. And he's said it himself in the wake",2011,-586994688.0
"23 March 2011 - japanese brands struggle after disasters
Japanese brands are struggling to recover from the devastating natural disasters that struck the country in March 2011. A few months after the quake and tsunami, Japanese firms are still battling to keep their brands going and the situation is unlikely to improve any time soon, despite a recent upturn in exports.
The earthquake and tsunami destroyed many of the facilities used by the Japanese automotive and electronic sectors. Toyota is still struggling to re-establish production, and Honda has also lost some of its production capacity due to the quake and tsunami.
A number of other industries have been hit by the disaster, with the port at Nagoya still struggling to recover. The port at Yokohama, the biggest on the east coast of Japan, was closed for six weeks. It is hoped that the port will reopen by May.
The Japanese government has announced an 18 month extension for companies that have suffered a reduction in exports. However, it is unclear if companies will receive compensation from the government if they fail to meet the targets",2011,-580998144.0
"12 October 2011 - coroner examines grafton prison death
A Queensland coroner has examined the death of a prisoner at Grafton Correctional Centre, but has ruled no one is to blame for the man’s death.
Peter John Soper died at Grafton Correctional Centre on 13 February, 2008.
His death was attributed to a heart attack, but the man’s family are concerned his death was not treated seriously enough.
His family said Mr Soper, a former bricklayer, had a history of heart problems, and had been denied treatment for a heart condition while in custody.
He also suffered from depression and a chronic lung condition.
His daughter, Angela, said they knew of the prison’s poor health services, and had been calling for an inquiry into his death.
The family said they have been waiting a long time for a decision, but it was not made in Mr Soper’s favour.
The coroner, Dr Jane Bentley, ruled no one is to blame, but recommended a review of the prison’s medical system",2011,-589889152.0
"14 November 2011 - obama motorcade dress rehearsal - ""I am not a crook."" - Nixon
Obama Motorcade in NYC - November 14, 2011 - 15 hours before the Election
I have taken this picture for a number of reasons. First, because I think it's interesting. Second, because I think it's a good way of showing how far off of the rails the Democrats have gone.
Third, because I think this will be a useful photo in the coming months when we begin to talk about the reasons for Obama's re-election. And it's a good way of showing just how bad the economy is.
As a side note, I am also interested in showing how the media has completely lost the ability to do anything except regurgitate Democratic Party propaganda.
What we see here is a ""Presidential Motorcade"" in NYC, just 15 hours before the election. I have no doubt this is the most expensive motorcade ever in the history of the world, and yet the Democrats can't get the",2011,-560557056.0
"14 April 2011 - man dies after car hits power pole
Car hits power pole, causes major traffic delays
A man was killed Tuesday after he hit a power pole while driving a car in the Northridge neighborhood of Tampa.
It happened around 4 p.m. at the intersection of Hillsborough Avenue and North Avenue.
The car then slammed into the pole. The pole and car caught on fire.
A witness said he heard screams from the car. He went to check on the driver. When he looked inside the car, the driver was already dead.
Traffic was backed up for hours, and there was a lot of smoke in the area. Hillsborough County firefighters put out the fire.
The driver has been identified as 37-year-old Michael James Johnson. He had no known address.
Authorities say he was not wearing a seatbelt.
The accident is under investigation, and it is not yet known why the driver was traveling so fast.
http://www.tampabay.com/news/publicsafety/crime/article1058296.ece
19 April",2011,-594553280.0
